"t","u","wt1","wt2","wt3","r","y","em_x","em_y",
0,-0.14242,0.60594,-0.00975,3.7688,-1.0022,-0.29007,0,0,
0.2,-0.14276,0.60594,-0.00975,3.7688,-1.0039,-0.29007,0.031252,-0.017564,
0.4,-0.14313,0.60594,-0.00975,3.7688,-1.0057,-0.29007,0.065376,-0.035985,
0.6,-0.14355,0.60594,-0.00975,3.7688,-1.0078,-0.29008,0.10237,-0.055262,
0.8,-0.144,0.60594,-0.00975,3.7688,-1.0101,-0.29011,0.14222,-0.075392,
1,-0.14448,0.60594,-0.00975,3.7688,-1.0126,-0.29016,0.18491,-0.096371,
1.2,-0.145,0.60594,-0.00975,3.7688,-1.0152,-0.29023,0.23042,-0.11819,
1.4,-0.14555,0.60594,-0.00975,3.7688,-1.0181,-0.29033,0.27875,-0.14086,
1.6,-0.14613,0.60594,-0.00975,3.7688,-1.0211,-0.29047,0.32985,-0.16435,
1.8,-0.14674,0.60594,-0.00975,3.7688,-1.0243,-0.29066,0.3837,-0.18868,
2,-0.14737,0.60594,-0.00975,3.7688,-1.0278,-0.29089,0.44028,-0.21382,
2.2,-0.14803,0.60594,-0.00975,3.7688,-1.0314,-0.29118,0.49954,-0.23978,
2.4,-0.14872,0.60594,-0.00975,3.7688,-1.0351,-0.29153,0.56145,-0.26654,
2.6,-0.14943,0.60594,-0.00975,3.7688,-1.0391,-0.29195,0.62597,-0.29409,
2.8,-0.15016,0.60594,-0.00975,3.7688,-1.0432,-0.29243,0.69305,-0.32244,
3,-0.1509,0.60594,-0.00975,3.7688,-1.0475,-0.293,0.76265,-0.35156,
3.2,-0.15167,0.60594,-0.00975,3.7688,-1.052,-0.29364,0.83471,-0.38146,
3.4,-0.15245,0.60594,-0.00975,3.7688,-1.0566,-0.29437,0.9092,-0.41212,
3.6,-0.15324,0.60594,-0.00975,3.7688,-1.0614,-0.29519,0.98605,-0.44353,
3.8,-0.15405,0.60594,-0.00975,3.7688,-1.0664,-0.29611,1.0652,-0.4757,
4,-0.15487,0.60594,-0.00975,3.7688,-1.0715,-0.29712,1.1466,-0.5086,
4.2,-0.15569,0.60594,-0.00975,3.7688,-1.0767,-0.29824,1.2302,-0.54224,
4.4,-0.15652,0.60594,-0.00975,3.7688,-1.0821,-0.29947,1.316,-0.57661,
4.6,-0.15736,0.60594,-0.00975,3.7688,-1.0876,-0.30081,1.4038,-0.6117,
4.8,-0.15821,0.60594,-0.00975,3.7688,-1.0933,-0.30226,1.4937,-0.64751,
5,-0.15905,0.60594,-0.00975,3.7688,-1.0991,-0.30383,1.5855,-0.68403,
5.2,-0.1599,0.60594,-0.00975,3.7688,-1.105,-0.30552,1.6792,-0.72125,
5.4,-0.16074,0.60594,-0.00975,3.7688,-1.111,-0.30733,1.7747,-0.75918,
5.6,-0.16159,0.60594,-0.00975,3.7688,-1.1172,-0.30927,1.872,-0.79781,
5.8,-0.16243,0.60594,-0.00975,3.7688,-1.1235,-0.31133,1.9711,-0.83714,
6,-0.16327,0.60594,-0.00975,3.7688,-1.1299,-0.31352,2.0717,-0.87716,
6.2,-0.1641,0.60594,-0.00975,3.7688,-1.1363,-0.31584,2.174,-0.91787,
6.4,-0.16493,0.60594,-0.00975,3.7688,-1.1429,-0.31829,2.2778,-0.95927,
6.6,-0.16574,0.60594,-0.00975,3.7688,-1.1496,-0.32086,2.383,-1.0014,
6.8,-0.16655,0.60594,-0.00975,3.7688,-1.1563,-0.32357,2.4897,-1.0442,
7,-0.16735,0.60594,-0.00975,3.7688,-1.1632,-0.32641,2.5977,-1.0876,
7.2,-0.16814,0.60594,-0.00975,3.7688,-1.1701,-0.32939,2.7069,-1.1318,
7.4,-0.16892,0.60594,-0.00975,3.7688,-1.1771,-0.33249,2.8175,-1.1767,
7.6,-0.16969,0.60594,-0.00975,3.7688,-1.1842,-0.33572,2.9292,-1.2222,
7.8,-0.17045,0.60594,-0.00975,3.7688,-1.1913,-0.33908,3.042,-1.2685,
8,-0.17119,0.60594,-0.00975,3.7688,-1.1985,-0.34257,3.1558,-1.3154,
8.2,-0.17192,0.60594,-0.00975,3.7688,-1.2058,-0.34618,3.2707,-1.3631,
8.4,-0.17263,0.60594,-0.00975,3.7688,-1.2131,-0.34992,3.3866,-1.4114,
8.6,-0.17333,0.60594,-0.00975,3.7688,-1.2205,-0.35379,3.5033,-1.4605,
8.8,-0.17402,0.60594,-0.00975,3.7688,-1.2279,-0.35778,3.6209,-1.5102,
9,-0.17469,0.60594,-0.00975,3.7688,-1.2353,-0.36188,3.7393,-1.5607,
9.2,-0.17534,0.60594,-0.00975,3.7688,-1.2428,-0.36611,3.8585,-1.6119,
9.4,-0.17598,0.60594,-0.00975,3.7688,-1.2504,-0.37045,3.9784,-1.6637,
9.6,-0.1766,0.60594,-0.00975,3.7688,-1.2579,-0.37491,4.0989,-1.7164,
9.8,-0.17721,0.60594,-0.00975,3.7688,-1.2655,-0.37947,4.2201,-1.7697,
10,-0.1778,0.60594,-0.00975,3.7688,-1.2731,-0.38415,4.3419,-1.8237,
10.2,-0.17837,0.60594,-0.00975,3.7688,-1.2808,-0.38893,4.4642,-1.8785,
10.4,-0.17892,0.60594,-0.00975,3.7688,-1.2884,-0.39382,4.587,-1.934,
10.6,-0.17946,0.60594,-0.00975,3.7688,-1.2961,-0.3988,4.7102,-1.9903,
