"t","u","wt1","wt2","wt3","r","y","em_x","em_y",
0,-0.29921,0.010043,0.0010154,1.0003,-1.1774,-0.88153,0,0,
0.2,-0.0052789,0.010043,0.0010154,1.0003,-1.1791,-0.88153,0.035103,-0.040494,
0.4,-0.0056823,0.010043,0.0010154,1.0003,-1.1808,-0.88154,0.072112,-0.083301,
0.6,-0.0060942,0.010043,0.0010154,1.0003,-1.1827,-0.88154,0.11102,-0.12842,
0.8,-0.0065086,0.010043,0.0010154,1.0003,-1.1847,-0.88155,0.15183,-0.17583,
1,-0.0069255,0.010043,0.0010154,1.0003,-1.1867,-0.88156,0.19453,-0.22554,
1.2,-0.0073446,0.010043,0.0010154,1.0003,-1.1888,-0.88157,0.2391,-0.27752,
1.4,-0.0077661,0.010043,0.0010154,1.0003,-1.191,-0.88157,0.28553,-0.33177,
1.6,-0.0081898,0.010043,0.0010154,1.0003,-1.1933,-0.88158,0.33381,-0.38825,
1.8,-0.0086156,0.010043,0.0010154,1.0003,-1.1957,-0.88159,0.38391,-0.44695,
2,-0.0090432,0.010043,0.0010154,1.0003,-1.1982,-0.8816,0.43582,-0.50785,
2.2,-0.0094727,0.010043,0.0010154,1.0003,-1.2007,-0.88161,0.48952,-0.57091,
2.4,-0.0099041,0.010043,0.0010154,1.0003,-1.2033,-0.88163,0.54498,-0.6361,
2.6,-0.010337,0.010043,0.0010154,1.0003,-1.206,-0.88165,0.60217,-0.7034,
2.8,-0.010771,0.010043,0.0010154,1.0003,-1.2088,-0.88167,0.66106,-0.77277,
3,-0.011207,0.010043,0.0010154,1.0003,-1.2117,-0.8817,0.72163,-0.84418,
3.2,-0.011643,0.010043,0.0010154,1.0003,-1.2146,-0.88173,0.78384,-0.91758,
3.4,-0.012081,0.010043,0.0010154,1.0003,-1.2176,-0.88177,0.84766,-0.99294,
3.6,-0.012519,0.010043,0.0010154,1.0003,-1.2207,-0.88182,0.91307,-1.0702,
3.8,-0.012958,0.010043,0.0010154,1.0003,-1.2238,-0.88188,0.98001,-1.1494,
4,-0.013397,0.010043,0.0010154,1.0003,-1.2271,-0.88195,1.0485,-1.2304,
4.2,-0.013837,0.010043,0.0010154,1.0003,-1.2304,-0.88203,1.1184,-1.3131,
4.4,-0.014275,0.010043,0.0010154,1.0003,-1.2337,-0.88214,1.1897,-1.3977,
4.6,-0.014714,0.010043,0.0010154,1.0003,-1.2371,-0.88226,1.2625,-1.4839,
4.8,-0.015153,0.010043,0.0010154,1.0003,-1.2406,-0.8824,1.3366,-1.5718,
5,-0.01559,0.010043,0.0010154,1.0003,-1.2442,-0.88257,1.412,-1.6613,
5.2,-0.016026,0.010043,0.0010154,1.0003,-1.2478,-0.88276,1.4887,-1.7524,
5.4,-0.016462,0.010043,0.0010154,1.0003,-1.2514,-0.88299,1.5666,-1.845,
5.6,-0.016895,0.010043,0.0010154,1.0003,-1.2551,-0.88324,1.6457,-1.939,
5.8,-0.017326,0.010043,0.0010154,1.0003,-1.2589,-0.88354,1.7259,-2.0345,
6,-0.01744,0.010043,0.0010154,1.0003,-1.2627,-0.88387,1.8073,-2.1314,
6.2,-0.01748,0.010043,0.0010154,1.0003,-1.2666,-0.88425,1.8898,-2.2297,
6.4,-0.017517,0.010043,0.0010154,1.0003,-1.2705,-0.88467,1.9733,-2.3292,
6.6,-0.01755,0.010043,0.0010154,1.0003,-1.2744,-0.88514,2.0577,-2.4301,
6.8,-0.01758,0.010043,0.0010154,1.0003,-1.2784,-0.88566,2.1431,-2.5321,
7,-0.017606,0.010043,0.0010154,1.0003,-1.2825,-0.88623,2.2295,-2.6353,
7.2,-0.017631,0.010043,0.0010154,1.0003,-1.2865,-0.88684,2.3167,-2.7397,
7.4,-0.01765,0.010043,0.0010154,1.0003,-1.2907,-0.88751,2.4047,-2.8452,
7.6,-0.017668,0.010043,0.0010154,1.0003,-1.2948,-0.88822,2.4936,-2.9518,
7.8,-0.017683,0.010043,0.0010154,1.0003,-1.299,-0.889,2.5832,-3.0594,
8,-0.017694,0.010043,0.0010154,1.0003,-1.3032,-0.88982,2.6735,-3.168,
8.2,-0.017702,0.010043,0.0010154,1.0003,-1.3074,-0.8907,2.7645,-3.2776,
8.4,-0.01771,0.010043,0.0010154,1.0003,-1.3117,-0.89163,2.8562,-3.3881,
8.6,-0.017711,0.010043,0.0010154,1.0003,-1.316,-0.89262,2.9485,-3.4995,
8.8,-0.017713,0.010043,0.0010154,1.0003,-1.3203,-0.89366,3.0413,-3.6118,
9,-0.017711,0.010043,0.0010154,1.0003,-1.3246,-0.89476,3.1348,-3.7249,
9.2,-0.017708,0.010043,0.0010154,1.0003,-1.329,-0.89591,3.2287,-3.8389,
9.4,-0.017701,0.010043,0.0010154,1.0003,-1.3334,-0.89712,3.3231,-3.9537,
9.6,-0.017692,0.010043,0.0010154,1.0003,-1.3378,-0.89838,3.418,-4.0692,
9.8,-0.017683,0.010043,0.0010154,1.0003,-1.3422,-0.8997,3.5133,-4.1854,
10,-0.01767,0.010043,0.0010154,1.0003,-1.3466,-0.90108,3.609,-4.3024,
10.2,-0.017656,0.010043,0.0010154,1.0003,-1.351,-0.90251,3.7051,-4.4201,
10.4,-0.01764,0.010043,0.0010154,1.0003,-1.3554,-0.904,3.8015,-4.5384,
10.6,-0.017623,0.010043,0.0010154,1.0003,-1.3599,-0.90554,3.8983,-4.6574,
10.8,-0.017603,0.010043,0.0010154,1.0003,-1.3643,-0.90713,3.9953,-4.777,
11,-0.017585,0.010043,0.0010154,1.0003,-1.3688,-0.90878,4.0926,-4.8972,
11.2,-0.017561,0.010043,0.0010154,1.0003,-1.3733,-0.91048,4.1901,-5.0181,
11.4,-0.017538,0.010043,0.0010154,1.0003,-1.3777,-0.91224,4.2879,-5.1395,
11.6,-0.017515,0.010043,0.0010154,1.0003,-1.3822,-0.91404,4.3859,-5.2614,
11.8,-0.017488,0.010043,0.0010154,1.0003,-1.3867,-0.9159,4.484,-5.3839,
12,-0.017464,0.010043,0.0010154,1.0003,-1.3911,-0.91781,4.5823,-5.5069,
12.2,-0.017433,0.010043,0.0010154,1.0003,-1.3956,-0.91976,4.6807,-5.6305,
12.4,-0.017409,0.010043,0.0010154,1.0003,-1.4,-0.92177,4.7792,-5.7545,
12.6,-0.017376,0.010043,0.0010154,1.0003,-1.4045,-0.92382,4.8779,-5.879,
