"t","u","wt1","wt2","wt3","r","y","em_x","em_y",
0,0.58565,0.016549,0.0018091,2.0241,2.9099,2.6232,0,0,
0.2,0.0067439,0.016549,0.0018091,2.0241,2.9104,2.6232,-0.010533,0.0073821,
0.4,0.0074095,0.016549,0.0018091,2.0241,2.9109,2.6232,-0.02367,0.016249,
0.6,0.008114,0.016549,0.0018091,2.0241,2.9116,2.6232,-0.039406,0.026599,
0.8,0.0088203,0.016549,0.0018091,2.0241,2.9123,2.6232,-0.057731,0.038426,
1,0.0095283,0.016549,0.0018091,2.0241,2.9131,2.6233,-0.078635,0.051722,
1.2,0.010238,0.016549,0.0018091,2.0241,2.914,2.6233,-0.1021,0.06648,
1.4,0.010948,0.016549,0.0018091,2.0241,2.915,2.6233,-0.12811,0.082688,
1.6,0.011659,0.016549,0.0018091,2.0241,2.9161,2.6233,-0.15664,0.10033,
1.8,0.01237,0.016549,0.0018091,2.0241,2.9172,2.6234,-0.18767,0.1194,
2,0.013082,0.016549,0.0018091,2.0241,2.9184,2.6234,-0.22116,0.13988,
2.2,0.013792,0.016549,0.0018091,2.0241,2.9197,2.6234,-0.2571,0.16174,
2.4,0.014501,0.016549,0.0018091,2.0241,2.9211,2.6235,-0.29544,0.18498,
2.6,0.015208,0.016549,0.0018091,2.0241,2.9226,2.6235,-0.33615,0.20956,
2.8,0.015912,0.016549,0.0018091,2.0241,2.9241,2.6235,-0.37919,0.23547,
3,0.016613,0.016549,0.0018091,2.0241,2.9257,2.6236,-0.42452,0.26268,
3.2,0.01731,0.016549,0.0018091,2.0241,2.9274,2.6237,-0.47209,0.29117,
3.4,0.018001,0.016549,0.0018091,2.0241,2.9292,2.6238,-0.52188,0.32092,
3.6,0.018686,0.016549,0.0018091,2.0241,2.931,2.6239,-0.57382,0.35189,
3.8,0.019364,0.016549,0.0018091,2.0241,2.9329,2.624,-0.62788,0.38405,
4,0.020035,0.016549,0.0018091,2.0241,2.9348,2.6242,-0.684,0.41738,
4.2,0.020697,0.016549,0.0018091,2.0241,2.9368,2.6244,-0.74214,0.45185,
4.4,0.021348,0.016549,0.0018091,2.0241,2.9389,2.6246,-0.80225,0.48743,
4.6,0.021989,0.016549,0.0018091,2.0241,2.9411,2.6249,-0.86428,0.52408,
4.8,0.022618,0.016549,0.0018091,2.0241,2.9433,2.6252,-0.92818,0.56177,
5,0.023233,0.016549,0.0018091,2.0241,2.9455,2.6256,-0.9939,0.60047,
5.2,0.023835,0.016549,0.0018091,2.0241,2.9478,2.626,-1.0614,0.64014,
5.4,0.024422,0.016549,0.0018091,2.0241,2.9502,2.6265,-1.1306,0.68076,
5.6,0.024994,0.016549,0.0018091,2.0241,2.9526,2.6271,-1.2015,0.72227,
5.8,0.025548,0.016549,0.0018091,2.0241,2.9551,2.6277,-1.274,0.76466,
6,0.026087,0.016549,0.0018091,2.0241,2.9576,2.6285,-1.3481,0.80787,
6.2,0.026606,0.016549,0.0018091,2.0241,2.9601,2.6293,-1.4237,0.85188,
6.4,0.026933,0.016549,0.0018091,2.0241,2.9627,2.6302,-1.5008,0.89665,
6.6,0.026812,0.016549,0.0018091,2.0241,2.9654,2.6313,-1.5793,0.94213,
6.8,0.026678,0.016549,0.0018091,2.0241,2.968,2.6325,-1.6593,0.9883,
7,0.026535,0.016549,0.0018091,2.0241,2.9707,2.6337,-1.7406,1.0351,
7.2,0.026384,0.016549,0.0018091,2.0241,2.9734,2.6351,-1.8232,1.0825,
7.4,0.026227,0.016549,0.0018091,2.0241,2.9762,2.6366,-1.9071,1.1305,
7.6,0.026063,0.016549,0.0018091,2.0241,2.979,2.6383,-1.9922,1.179,
7.8,0.025892,0.016549,0.0018091,2.0241,2.9818,2.64,-2.0785,1.228,
8,0.025718,0.016549,0.0018091,2.0241,2.9846,2.6418,-2.166,1.2774,
