"t","u","wt1","wt2","wt3","wt4","wt5","wt6","wt7","wt8","wt9","r","y","em_x","em_y",
0,0.25275,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.5356,2.2856,0,0,
0.2,0.0052025,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.5377,2.2856,0.035936,0.00093882,
0.4,0.0055772,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.5399,2.2856,0.069907,0.0041415,
0.6,0.0059593,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.5422,2.2856,0.10192,0.0096033,
0.8,0.0063446,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.5445,2.2856,0.13197,0.017317,
1,0.0067327,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.547,2.2856,0.16008,0.027271,
1.2,0.0071239,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.5494,2.2857,0.18626,0.039453,
1.4,0.0075177,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.552,2.2857,0.21052,0.053846,
1.6,0.0079147,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.5546,2.2857,0.23287,0.070431,
1.8,0.0083141,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.5574,2.2857,0.25334,0.089186,
2,0.0087161,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.5601,2.2857,0.27195,0.11009,
2.2,0.0091208,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.563,2.2857,0.28872,0.13311,
2.4,0.0095279,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.5659,2.2857,0.30367,0.15822,
2.6,0.0099374,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.5689,2.2857,0.31684,0.18538,
2.8,0.010348,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.5719,2.2857,0.32824,0.21458,
3,0.010762,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.5751,2.2858,0.33792,0.24576,
3.2,0.011177,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.5782,2.2858,0.34591,0.27889,
3.4,0.011594,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.5815,2.2858,0.35222,0.31394,
3.6,0.012013,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.5848,2.2859,0.35691,0.35086,
3.8,0.012433,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.5881,2.2859,0.36001,0.38962,
4,0.012854,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.5916,2.286,0.36155,0.43016,
4.2,0.013277,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.5951,2.2861,0.36156,0.47245,
4.4,0.013699,1,1,1,-1,-1,-1,0.010003,0.001112,1,2.5986,2.2862,0.36009,0.51644,
