"t","u","wt1","wt2","wt3","wt4","wt5","wt6","wt7","wt8","wt9","r","y","em_x","em_y",
0,-0.11234,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2836,1.3947,0,0,
0.2,-0.0016155,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2832,1.3947,-0.00090959,0.0076159,
0.4,-0.0017667,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2829,1.3947,-0.001294,0.018183,
0.6,-0.0019194,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2825,1.3947,-0.0011543,0.031696,
0.8,-0.0020727,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2821,1.3947,-0.00049224,0.048144,
1,-0.0022267,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2817,1.3947,0.00068974,0.067513,
1.2,-0.0023812,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2812,1.3947,0.0023885,0.089787,
1.4,-0.0025363,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2807,1.3947,0.0046003,0.11494,
1.6,-0.002692,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2802,1.3947,0.0073206,0.14296,
1.8,-0.0028482,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2796,1.3947,0.010544,0.1738,
2,-0.0030049,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.279,1.3947,0.014266,0.20744,
2.2,-0.0031621,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2784,1.3947,0.01848,0.24384,
2.4,-0.0033198,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2778,1.3947,0.023178,0.28297,
2.6,-0.003478,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2771,1.3947,0.028354,0.32478,
2.8,-0.0036365,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2764,1.3947,0.034,0.36924,
3,-0.0037954,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2756,1.3947,0.040108,0.41628,
3.2,-0.0039549,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2748,1.3947,0.046669,0.46588,
3.4,-0.0041146,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.274,1.3947,0.053675,0.51797,
3.6,-0.0042746,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2732,1.3947,0.061116,0.5725,
3.8,-0.0044352,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2723,1.3946,0.068983,0.62943,
4,-0.0045957,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2715,1.3946,0.077267,0.68869,
4.2,-0.0047568,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2705,1.3946,0.085956,0.75023,
4.4,-0.0049181,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2696,1.3946,0.095042,0.814,
4.6,-0.0050796,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2686,1.3946,0.10451,0.87993,
4.8,-0.0052412,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2677,1.3946,0.11436,0.94797,
5,-0.0054033,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2667,1.3946,0.12458,1.0181,
5.2,-0.0055652,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2656,1.3945,0.13515,1.0901,
5.4,-0.0057274,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2646,1.3945,0.14606,1.1641,
5.6,-0.0058898,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2635,1.3945,0.15731,1.24,
5.8,-0.0060522,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2624,1.3945,0.16889,1.3177,
6,-0.0062149,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2613,1.3944,0.18078,1.3971,
6.2,-0.0063772,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.2602,1.3944,0.19298,1.4783,
6.4,-0.0065402,1,1,1,-1,-1,-1,0.0097148,0.0010338,1,1.259,1.3943,0.20547,1.5611,
