"t","u","wt1","wt2","wt3","wt4","wt5","wt6","wt7","wt8","wt9","r","y","em_x","em_y",
0,0.019332,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.94475,0.92561,0,0,
0.2,-0.00064176,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.94392,0.92561,-0.03309,-0.031544,
0.4,-0.00063742,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.94309,0.92561,-0.064378,-0.060693,
0.6,-0.00063331,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.94227,0.92561,-0.093867,-0.087451,
0.8,-0.00062948,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.94145,0.92561,-0.12156,-0.11183,
1,-0.00062593,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.94064,0.92561,-0.14747,-0.13383,
1.2,-0.00062267,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.93984,0.92561,-0.17161,-0.15348,
1.4,-0.00061974,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.93904,0.92561,-0.19399,-0.17079,
1.6,-0.00061701,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.93825,0.92561,-0.21462,-0.18578,
1.8,-0.00061467,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.93746,0.92561,-0.23352,-0.19848,
2,-0.00061257,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.93668,0.92561,-0.25072,-0.2089,
2.2,-0.00061082,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.9359,0.92561,-0.26623,-0.21708,
2.4,-0.00060941,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.93513,0.92561,-0.28007,-0.22305,
2.6,-0.00060822,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.93436,0.92561,-0.29227,-0.22684,
2.8,-0.00060749,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.9336,0.92561,-0.30286,-0.22849,
3,-0.00060691,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.93284,0.92561,-0.31187,-0.22804,
3.2,-0.00060687,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.93209,0.92561,-0.31932,-0.22551,
3.4,-0.00060706,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.93134,0.92561,-0.32525,-0.22096,
3.6,-0.00060749,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.9306,0.92561,-0.32968,-0.21443,
3.8,-0.00060835,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.92986,0.92561,-0.33265,-0.20596,
4,-0.00060955,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.92913,0.92561,-0.33419,-0.19559,
4.2,-0.00061112,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.9284,0.92561,-0.33435,-0.18337,
4.4,-0.0006129,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.92768,0.92561,-0.33314,-0.16934,
4.6,-0.00061516,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.92696,0.92561,-0.33061,-0.15356,
4.8,-0.00061773,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.92624,0.92561,-0.3268,-0.13607,
5,-0.0006208,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.92553,0.92561,-0.32173,-0.11692,
5.2,-0.0006239,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.92482,0.92561,-0.31545,-0.096146,
5.4,-0.00062735,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.92412,0.92561,-0.30799,-0.073811,
5.6,-0.00063157,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.92342,0.92561,-0.29938,-0.049957,
5.8,-0.00063566,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.92272,0.92561,-0.28967,-0.024631,
6,-0.00064029,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.92203,0.92561,-0.27889,0.0021179,
6.2,-0.00064524,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.92134,0.92561,-0.26707,0.030244,
6.4,-0.00065059,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.92065,0.92561,-0.25425,0.0597,
6.6,-0.0006561,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.91997,0.92561,-0.24046,0.090441,
6.8,-0.0006621,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.91928,0.92561,-0.22574,0.12242,
7,-0.00066853,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.91861,0.92561,-0.21012,0.1556,
7.2,-0.00067501,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.91793,0.9256,-0.19363,0.18992,
7.4,-0.00068212,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.91726,0.9256,-0.17631,0.22536,
7.6,-0.00068911,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.91659,0.9256,-0.15818,0.26186,
7.8,-0.00069691,1,1,1,-1,-1,-1,0.0096806,0.00038006,1,0.91592,0.9256,-0.13929,0.29939,
