"t","u","wt1","wt2","wt3","wt4","wt5","wt6","wt7","wt8","wt9","r","y","em_x","em_y",
0,-0.10367,1,1,1,-1,-1,-1,0.01,0.001,1,-2.5455,-2.443,0,0,
0.2,-0.0055708,1,1,1,-1,-1,-1,0.01,0.001,1,-2.5498,-2.443,0.031773,-0.030326,
0.4,-0.0057552,1,1,1,-1,-1,-1,0.01,0.001,1,-2.5542,-2.443,0.06125,-0.062579,
0.6,-0.005945,1,1,1,-1,-1,-1,0.01,0.001,1,-2.5585,-2.443,0.088437,-0.096757,
0.8,-0.0061396,1,1,1,-1,-1,-1,0.01,0.001,1,-2.5629,-2.443,0.11334,-0.13285,
1,-0.0063385,1,1,1,-1,-1,-1,0.01,0.001,1,-2.5673,-2.443,0.13597,-0.17086,
1.2,-0.0065422,1,1,1,-1,-1,-1,0.01,0.001,1,-2.5718,-2.443,0.15634,-0.21076,
1.4,-0.0067503,1,1,1,-1,-1,-1,0.01,0.001,1,-2.5762,-2.443,0.17448,-0.25254,
1.6,-0.0069628,1,1,1,-1,-1,-1,0.01,0.001,1,-2.5807,-2.443,0.19038,-0.29619,
1.8,-0.0071798,1,1,1,-1,-1,-1,0.01,0.001,1,-2.5853,-2.443,0.20409,-0.34169,
2,-0.0074016,1,1,1,-1,-1,-1,0.01,0.001,1,-2.5898,-2.443,0.21562,-0.38902,
2.2,-0.0076268,1,1,1,-1,-1,-1,0.01,0.001,1,-2.5944,-2.443,0.225,-0.43815,
2.4,-0.0078568,1,1,1,-1,-1,-1,0.01,0.001,1,-2.5991,-2.443,0.23227,-0.48906,
2.6,-0.0080916,1,1,1,-1,-1,-1,0.01,0.001,1,-2.6037,-2.443,0.23744,-0.54172,
2.8,-0.0083291,1,1,1,-1,-1,-1,0.01,0.001,1,-2.6084,-2.443,0.24056,-0.59611,
3,-0.0085719,1,1,1,-1,-1,-1,0.01,0.001,1,-2.6131,-2.4431,0.24167,-0.65219,
3.2,-0.0088184,1,1,1,-1,-1,-1,0.01,0.001,1,-2.6179,-2.4431,0.24079,-0.70994,
3.4,-0.0090685,1,1,1,-1,-1,-1,0.01,0.001,1,-2.6226,-2.4431,0.23797,-0.76931,
3.6,-0.0093219,1,1,1,-1,-1,-1,0.01,0.001,1,-2.6274,-2.4431,0.23324,-0.83028,
3.8,-0.0095805,1,1,1,-1,-1,-1,0.01,0.001,1,-2.6323,-2.4432,0.22666,-0.89281,
4,-0.0098415,1,1,1,-1,-1,-1,0.01,0.001,1,-2.6371,-2.4432,0.21826,-0.95687,
4.2,-0.010107,1,1,1,-1,-1,-1,0.01,0.001,1,-2.642,-2.4432,0.20808,-1.0224,
4.4,-0.010376,1,1,1,-1,-1,-1,0.01,0.001,1,-2.6469,-2.4433,0.19617,-1.0894,
4.6,-0.010647,1,1,1,-1,-1,-1,0.01,0.001,1,-2.6518,-2.4434,0.18257,-1.1578,
4.8,-0.010921,1,1,1,-1,-1,-1,0.01,0.001,1,-2.6567,-2.4434,0.16733,-1.2276,
