"t","u","wt1","wt2","wt3","wt4","wt5","wt6","wt7","wt8","wt9","r","y","em_x","em_y",
0,-0.40395,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9126,-1.513,0,0,
0.2,-0.0069417,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9148,-1.513,0.035452,0.034419,
0.4,-0.0075018,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9171,-1.513,0.071078,0.065845,
0.6,-0.0080755,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9195,-1.513,0.10688,0.094285,
0.8,-0.0086524,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9221,-1.513,0.14285,0.11975,
1,-0.0092327,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9247,-1.513,0.17899,0.14225,
1.2,-0.009816,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9275,-1.513,0.2153,0.16181,
1.4,-0.010403,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9303,-1.513,0.25178,0.17844,
1.6,-0.010992,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9333,-1.5131,0.28843,0.19217,
1.8,-0.011584,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9364,-1.5131,0.32524,0.20304,
2,-0.012178,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9397,-1.5131,0.36222,0.21107,
2.2,-0.012775,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.943,-1.5131,0.39936,0.2163,
2.4,-0.013373,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9464,-1.5131,0.43665,0.21876,
2.6,-0.013974,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.95,-1.5132,0.47411,0.21851,
2.8,-0.014576,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9536,-1.5132,0.51171,0.21557,
3,-0.01518,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9574,-1.5133,0.54947,0.21001,
3.2,-0.015784,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9612,-1.5133,0.58737,0.20186,
3.4,-0.016389,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9651,-1.5134,0.62541,0.19118,
3.6,-0.016994,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9692,-1.5135,0.6636,0.17802,
3.8,-0.0176,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9733,-1.5136,0.70192,0.16244,
4,-0.018204,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9776,-1.5137,0.74036,0.14448,
4.2,-0.018808,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9819,-1.5139,0.77893,0.12421,
4.4,-0.01941,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9863,-1.5141,0.81762,0.10169,
4.6,-0.019569,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9908,-1.5143,0.85643,0.076975,
4.8,-0.019656,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-1.9954,-1.5146,0.89534,0.050119,
5,-0.019738,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2,-1.5149,0.93434,0.021184,
5.2,-0.019816,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.0048,-1.5152,0.97344,-0.0097689,
5.4,-0.019889,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.0096,-1.5156,1.0126,-0.042681,
5.6,-0.019957,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.0145,-1.516,1.0519,-0.077493,
5.8,-0.020022,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.0194,-1.5165,1.0912,-0.11415,
6,-0.020081,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.0245,-1.5171,1.1306,-0.15258,
6.2,-0.020135,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.0296,-1.5177,1.17,-0.19274,
6.4,-0.020185,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.0347,-1.5183,1.2095,-0.23456,
6.6,-0.020231,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.0399,-1.519,1.249,-0.27799,
6.8,-0.020272,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.0452,-1.5198,1.2885,-0.32297,
7,-0.020309,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.0506,-1.5206,1.3281,-0.36945,
7.2,-0.020341,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.0559,-1.5215,1.3676,-0.41737,
7.4,-0.02037,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.0614,-1.5225,1.4071,-0.46669,
7.6,-0.020395,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.0669,-1.5235,1.4466,-0.51734,
7.8,-0.020415,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.0724,-1.5246,1.4861,-0.56928,
8,-0.020432,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.078,-1.5258,1.5255,-0.62246,
8.2,-0.020444,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.0836,-1.527,1.5649,-0.67682,
8.4,-0.020455,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.0892,-1.5283,1.6042,-0.73233,
8.6,-0.020461,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.0949,-1.5297,1.6435,-0.78894,
8.8,-0.020464,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.1006,-1.5312,1.6826,-0.8466,
9,-0.020465,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.1064,-1.5327,1.7216,-0.90527,
9.2,-0.020459,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.1121,-1.5343,1.7606,-0.96491,
9.4,-0.020457,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.118,-1.536,1.7994,-1.0255,
9.6,-0.020445,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.1238,-1.5377,1.8381,-1.0869,
9.8,-0.020435,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.1296,-1.5395,1.8766,-1.1492,
10,-0.020421,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.1355,-1.5414,1.915,-1.2124,
10.2,-0.020407,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.1414,-1.5434,1.9532,-1.2763,
10.4,-0.020387,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.1473,-1.5454,1.9912,-1.3409,
10.6,-0.020367,1,1,1,-1,-1,-1,0.0097153,0.0010665,1,-2.1532,-1.5475,2.029,-1.4063,
