"t","u","wt1","wt2","wt3","wt4","wt5","wt6","wt7","wt8","wt9","r","y","em_x","em_y",
0,0.098079,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.3934,2.2963,0,0,
0.2,0.00075121,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.3931,2.2963,0.025168,-0.02704,
0.4,0.00081888,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.3929,2.2963,0.048348,-0.051838,
0.6,0.00088736,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.3926,2.2963,0.069542,-0.074397,
0.8,0.00095594,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.3925,2.2963,0.088758,-0.094726,
1,0.0010246,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.3923,2.2963,0.10601,-0.11283,
1.2,0.0010933,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.3922,2.2963,0.1213,-0.12874,
1.4,0.001162,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.3921,2.2963,0.13464,-0.14245,
1.6,0.0012307,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.392,2.2963,0.14606,-0.15399,
1.8,0.0012994,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.392,2.2963,0.15558,-0.16338,
2,0.001368,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.392,2.2963,0.16321,-0.17064,
2.2,0.0014366,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.392,2.2963,0.16898,-0.1758,
2.4,0.001505,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.392,2.2963,0.17291,-0.1789,
2.6,0.0015732,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.3921,2.2963,0.17503,-0.17995,
2.8,0.0016414,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.3922,2.2963,0.17537,-0.179,
3,0.0017093,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.3923,2.2963,0.17397,-0.17607,
3.2,0.001777,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.3924,2.2963,0.17085,-0.17121,
3.4,0.0018446,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.3926,2.2963,0.16604,-0.16445,
3.6,0.0019119,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.3928,2.2963,0.15959,-0.15584,
3.8,0.0019789,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.393,2.2963,0.15153,-0.14541,
4,0.0020457,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.3933,2.2963,0.14189,-0.1332,
4.2,0.0021122,1,1,1,-1,-1,-1,0.009681,0.00043075,1,2.3935,2.2963,0.13071,-0.11926,
