"t","u","wt1","wt2","wt3","wt4","wt5","wt6","wt7","wt8","wt9","r","y","em_x","em_y",
0,0.066991,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.1788,2.1129,0,0,
0.2,0.0039846,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.1814,2.1129,0.0032694,0.040174,
0.4,0.0044118,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.184,2.1129,0.0049923,0.082916,
0.6,0.0048534,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.1866,2.1129,0.0051717,0.12822,
0.8,0.0053092,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.1892,2.1129,0.0038129,0.17608,
1,0.0057793,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.1918,2.1129,0.00092319,0.22648,
1.2,0.0062635,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.1945,2.1129,-0.0034883,0.27941,
1.4,0.0067622,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.1972,2.1129,-0.0094105,0.33484,
1.6,0.007275,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.1999,2.1129,-0.01683,0.39277,
1.8,0.0078023,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2026,2.1129,-0.025732,0.45315,
2,0.0083438,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2053,2.1129,-0.036101,0.51597,
2.2,0.0088996,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2081,2.1129,-0.047917,0.58119,
2.4,0.0094696,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2109,2.1129,-0.061161,0.64878,
2.6,0.010053,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2137,2.1129,-0.075812,0.71871,
2.8,0.010652,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2165,2.1129,-0.091847,0.79093,
3,0.011263,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2193,2.1129,-0.10924,0.86541,
3.2,0.011889,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2222,2.113,-0.12797,0.94211,
3.4,0.012527,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.225,2.113,-0.14801,1.021,
3.6,0.01318,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2279,2.113,-0.16934,1.102,
3.8,0.013844,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2308,2.1131,-0.19192,1.185,
4,0.014521,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2337,2.1132,-0.21572,1.2702,
4.2,0.01521,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2366,2.1133,-0.24073,1.3572,
4.4,0.01591,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2396,2.1134,-0.26691,1.4463,
4.6,0.016622,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2425,2.1135,-0.29422,1.5372,
4.8,0.017344,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2455,2.1136,-0.32266,1.6299,
5,0.018076,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2485,2.1138,-0.35217,1.7244,
5.2,0.018817,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2515,2.1141,-0.38274,1.8206,
5.4,0.019565,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2545,2.1143,-0.41434,1.9185,
5.6,0.020323,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2575,2.1146,-0.44694,2.018,
5.8,0.021086,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2605,2.115,-0.48051,2.1191,
6,0.021855,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2636,2.1155,-0.51504,2.2217,
6.2,0.022629,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2666,2.116,-0.55048,2.3257,
6.4,0.023406,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2697,2.1165,-0.58682,2.4311,
6.6,0.024187,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2727,2.1172,-0.62404,2.5379,
6.8,0.024967,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2758,2.1179,-0.66212,2.646,
7,0.025749,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2789,2.1188,-0.70102,2.7553,
7.2,0.026528,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2819,2.1198,-0.74075,2.8659,
7.4,0.027306,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.285,2.1209,-0.78127,2.9775,
7.6,0.02808,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2881,2.1221,-0.82258,3.0903,
7.8,0.028848,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2911,2.1235,-0.86465,3.204,
8,0.029609,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2942,2.125,-0.90749,3.3188,
8.2,0.030363,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.2972,2.1267,-0.95107,3.4345,
8.4,0.031106,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.3003,2.1286,-0.99539,3.5511,
8.6,0.031836,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.3033,2.1306,-1.0404,3.6685,
8.8,0.032555,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.3063,2.1329,-1.0862,3.7867,
9,0.033258,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.3093,2.1354,-1.1327,3.9056,
9.2,0.033946,1,1,1,-1,-1,-1,0.010217,0.0053628,1.0001,2.3123,2.1381,-1.18,4.0252,
