"t","u","wt1","wt2","wt3","r","y","em_x","em_y",
0,0.7854,0.7,0.0010001,0.8433,-1.396,-2.3007,0,0,
0.2,0.63951,0.7,0.0010001,0.8433,-1.3931,-2.3006,-0.034812,0.031986,
0.4,0.64263,0.7,0.0010001,0.8433,-1.39,-2.3005,-0.071623,0.061738,
0.6,0.6455,0.7,0.0010001,0.8433,-1.3866,-2.3001,-0.11043,0.089259,
0.8,0.64769,0.7,0.0010001,0.8433,-1.3831,-2.2989,-0.15121,0.11455,
1,0.64871,0.7,0.0010001,0.8433,-1.3793,-2.2965,-0.19396,0.13762,
1.2,0.64793,0.7,0.0010001,0.8433,-1.3752,-2.2921,-0.23862,0.15844,
1.4,0.64469,0.7,0.0010001,0.8433,-1.371,-2.285,-0.28514,0.177,
1.6,0.63824,0.7,0.0010001,0.8433,-1.3665,-2.2742,-0.33342,0.19324,
1.8,0.62779,0.7,0.0010001,0.8433,-1.3618,-2.2587,-0.38332,0.20708,
2,0.61258,0.7,0.0010001,0.8433,-1.357,-2.2375,-0.43464,0.21843,
2.2,0.59103,0.7,0.0010001,0.8433,-1.3519,-2.2096,-0.48713,0.22712,
2.4,0.56342,0.7,0.0010001,0.8433,-1.3468,-2.174,-0.54045,0.23298,
2.6,0.52938,0.7,0.0010001,0.8433,-1.3415,-2.1301,-0.59417,0.23581,
2.8,0.48881,0.7,0.0010001,0.8433,-1.3362,-2.0774,-0.64777,0.23541,
3,0.44195,0.7,0.0010001,0.8433,-1.331,-2.0158,-0.70062,0.23159,
3.2,0.38946,0.7,0.0010001,0.8433,-1.3258,-1.9459,-0.75204,0.22423,
3.4,0.33238,0.7,0.0010001,0.8433,-1.3207,-1.8684,-0.80126,0.21329,
3.6,0.2721,0.7,0.0010001,0.8433,-1.3159,-1.785,-0.84752,0.19886,
3.8,0.21012,0.7,0.0010001,0.8433,-1.3114,-1.6974,-0.89007,0.18114,
4,0.14794,0.7,0.0010001,0.8433,-1.3072,-1.6075,-0.92827,0.16048,
4.2,0.086763,0.7,0.0010001,0.8433,-1.3035,-1.5174,-0.9616,0.13733,
4.4,0.027343,0.7,0.0010001,0.8433,-1.3003,-1.4284,-0.98966,0.11221,
4.6,-0.030109,0.7,0.0010001,0.8433,-1.2976,-1.3416,-1.0122,0.085648,
4.8,-0.085864,0.7,0.0010001,0.8433,-1.2955,-1.2574,-1.0292,0.058205,
5,-0.13961,0.7,0.0010001,0.8433,-1.2939,-1.1762,-1.0404,0.030411,
5.2,-0.18987,0.7,0.0010001,0.8433,-1.2928,-1.0993,-1.0461,0.0027554,
5.4,-0.23458,0.7,0.0010001,0.8433,-1.2923,-1.0285,-1.0464,-0.024367,
5.6,-0.27136,0.7,0.0010001,0.8433,-1.2923,-0.96644,-1.0418,-0.050724,
5.8,-0.29796,0.7,0.0010001,0.8433,-1.2928,-0.916,-1.0327,-0.076305,
6,-0.31257,0.7,0.0010001,0.8433,-1.2936,-0.87981,-1.0201,-0.10136,
6.2,-0.31423,0.7,0.0010001,0.8433,-1.2947,-0.85988,-1.0046,-0.12641,
6.4,-0.30302,0.7,0.0010001,0.8433,-1.2959,-0.85719,-0.9875,-0.15215,
6.6,-0.28011,0.7,0.0010001,0.8433,-1.2972,-0.87146,-0.96965,-0.17941,
6.8,-0.24756,0.7,0.0010001,0.8433,-1.2984,-0.9011,-0.95217,-0.20901,
7,-0.20803,0.7,0.0010001,0.8433,-1.2994,-0.94351,-0.9361,-0.24161,
7.2,-0.16431,0.7,0.0010001,0.8433,-1.3002,-0.99537,-0.92239,-0.27769,
7.4,-0.1189,0.7,0.0010001,0.8433,-1.3005,-1.0533,-0.91184,-0.31746,
7.6,-0.073657,0.7,0.0010001,0.8433,-1.3004,-1.114,-0.90508,-0.36093,
7.8,-0.02969,0.7,0.0010001,0.8433,-1.2998,-1.1753,-0.90256,-0.4079,
8,0.012675,0.7,0.0010001,0.8433,-1.2988,-1.2355,-0.90452,-0.45809,
8.2,0.053744,0.7,0.0010001,0.8433,-1.2972,-1.294,-0.91113,-0.51116,
8.4,0.093378,0.7,0.0010001,0.8433,-1.2951,-1.3504,-0.92245,-0.56674,
8.6,0.13027,0.7,0.0010001,0.8433,-1.2925,-1.4036,-0.93847,-0.62451,
8.8,0.16251,0.7,0.0010001,0.8433,-1.2894,-1.4518,-0.95898,-0.6841,
9,0.18801,0.7,0.0010001,0.8433,-1.2859,-1.4927,-0.98355,-0.74519,
9.2,0.20495,0.7,0.0010001,0.8433,-1.2821,-1.5239,-1.0115,-0.80753,
9.4,0.21218,0.7,0.0010001,0.8433,-1.278,-1.5435,-1.0418,-0.8709,
9.6,0.20946,0.7,0.0010001,0.8433,-1.2737,-1.5502,-1.0734,-0.9352,
9.8,0.19751,0.7,0.0010001,0.8433,-1.2694,-1.5441,-1.105,-1.0003,
10,0.1779,0.7,0.0010001,0.8433,-1.2652,-1.526,-1.1353,-1.0663,
10.2,0.15265,0.7,0.0010001,0.8433,-1.2613,-1.4979,-1.1634,-1.1328,
10.4,0.12387,0.7,0.0010001,0.8433,-1.2577,-1.4623,-1.1881,-1.1999,
10.6,0.09344,0.7,0.0010001,0.8433,-1.2544,-1.4217,-1.2089,-1.2673,
10.8,0.062778,0.7,0.0010001,0.8433,-1.2516,-1.3786,-1.2254,-1.3347,
11,0.03276,0.7,0.0010001,0.8433,-1.2492,-1.3347,-1.2374,-1.4018,
11.2,0.0037609,0.7,0.0010001,0.8433,-1.2473,-1.2912,-1.2449,-1.4685,
11.4,-0.024295,0.7,0.0010001,0.8433,-1.2458,-1.2489,-1.248,-1.5346,
