"t","u","wt1","wt2","wt3","r","y","em_x","em_y",
0,0.7854,0.80818,0.027083,0.25232,-1.2615,-2.5782,0,0,
0.2,0.7854,0.80818,0.027083,0.25232,-1.2644,-2.5782,0.020911,0.03161,
0.4,0.7854,0.80818,0.027083,0.25232,-1.2671,-2.5781,0.039288,0.061619,
0.6,0.7854,0.80818,0.027083,0.25232,-1.2695,-2.5779,0.055136,0.090029,
0.8,0.7854,0.80818,0.027083,0.25232,-1.2715,-2.5775,0.068466,0.11684,
1,0.7854,0.80818,0.027083,0.25232,-1.2733,-2.5767,0.079292,0.14206,
1.2,0.7854,0.80818,0.027083,0.25232,-1.2748,-2.5754,0.087635,0.16569,
1.4,0.7854,0.80818,0.027083,0.25232,-1.2761,-2.5736,0.093522,0.18773,
1.6,0.7854,0.80818,0.027083,0.25232,-1.277,-2.5712,0.096986,0.20817,
1.8,0.7854,0.80818,0.027083,0.25232,-1.2777,-2.5681,0.098066,0.227,
2,0.7854,0.80818,0.027083,0.25232,-1.2781,-2.5641,0.096811,0.2442,
2.2,0.7854,0.80818,0.027083,0.25232,-1.2783,-2.5593,0.093275,0.25977,
2.4,0.7854,0.80818,0.027083,0.25232,-1.2781,-2.5536,0.087521,0.27368,
2.6,0.7854,0.80818,0.027083,0.25232,-1.2777,-2.5468,0.07962,0.28589,
2.8,0.7854,0.80818,0.027083,0.25232,-1.2771,-2.5389,0.069653,0.29637,
3,0.7854,0.80818,0.027083,0.25232,-1.2762,-2.5299,0.057708,0.30507,
3.2,0.7854,0.80818,0.027083,0.25232,-1.2751,-2.5196,0.043883,0.31195,
3.4,0.7854,0.80818,0.027083,0.25232,-1.2738,-2.5081,0.028284,0.31696,
3.6,0.7854,0.80818,0.027083,0.25232,-1.2723,-2.4954,0.01103,0.32002,
3.8,0.7854,0.80818,0.027083,0.25232,-1.2705,-2.4812,-0.007755,0.32108,
4,0.7854,0.80818,0.027083,0.25232,-1.2685,-2.4657,-0.027933,0.32006,
4.2,0.7854,0.80818,0.027083,0.25232,-1.2664,-2.4488,-0.049358,0.3169,
4.4,0.7854,0.80818,0.027083,0.25232,-1.2641,-2.4304,-0.071873,0.31152,
4.6,0.7854,0.80818,0.027083,0.25232,-1.2616,-2.4106,-0.095311,0.30384,
4.8,0.7854,0.80818,0.027083,0.25232,-1.259,-2.3893,-0.11949,0.29378,
5,0.7854,0.80818,0.027083,0.25232,-1.2563,-2.3666,-0.14423,0.28128,
