"t","u","wt1","wt2","wt3","r","y","em_x","em_y",
0,0.29305,0.76814,0.021506,0.61442,0.60604,-0.85919,0,0,
0.2,0.29292,0.76814,0.021506,0.61442,0.60541,-0.85918,-0.033516,-0.015568,
0.4,0.29285,0.76814,0.021506,0.61442,0.60508,-0.85917,-0.065074,-0.033406,
0.6,0.29283,0.76814,0.021506,0.61442,0.60505,-0.85912,-0.094679,-0.053509,
0.8,0.29286,0.76814,0.021506,0.61442,0.60531,-0.85902,-0.12234,-0.07587,
1,0.29294,0.76814,0.021506,0.61442,0.60587,-0.85883,-0.14805,-0.10048,
1.2,0.29305,0.76814,0.021506,0.61442,0.60672,-0.85855,-0.17184,-0.12731,
1.4,0.2932,0.76814,0.021506,0.61442,0.60786,-0.85814,-0.19371,-0.15636,
1.6,0.29338,0.76814,0.021506,0.61442,0.60929,-0.8576,-0.21367,-0.1876,
1.8,0.29358,0.76814,0.021506,0.61442,0.61101,-0.85689,-0.23175,-0.22101,
2,0.2938,0.76814,0.021506,0.61442,0.613,-0.856,-0.24794,-0.25654,
2.2,0.29404,0.76814,0.021506,0.61442,0.61528,-0.85491,-0.26228,-0.29418,
2.4,0.29429,0.76814,0.021506,0.61442,0.61783,-0.8536,-0.27476,-0.33388,
2.6,0.29454,0.76814,0.021506,0.61442,0.62065,-0.85206,-0.28542,-0.3756,
2.8,0.2948,0.76814,0.021506,0.61442,0.62374,-0.85026,-0.29427,-0.4193,
3,0.29506,0.76814,0.021506,0.61442,0.62709,-0.8482,-0.30132,-0.46492,
3.2,0.29531,0.76814,0.021506,0.61442,0.6307,-0.84586,-0.30659,-0.51243,
3.4,0.29556,0.76814,0.021506,0.61442,0.63455,-0.84323,-0.31009,-0.56176,
3.6,0.29579,0.76814,0.021506,0.61442,0.63865,-0.84029,-0.31184,-0.61285,
3.8,0.29601,0.76814,0.021506,0.61442,0.643,-0.83704,-0.31185,-0.66565,
4,0.29621,0.76814,0.021506,0.61442,0.64757,-0.83347,-0.31014,-0.72009,
4.2,0.29639,0.76814,0.021506,0.61442,0.65238,-0.82957,-0.30673,-0.77611,
4.4,0.29655,0.76814,0.021506,0.61442,0.6574,-0.82534,-0.30161,-0.83363,
4.6,0.29668,0.76814,0.021506,0.61442,0.66264,-0.82077,-0.29481,-0.8926,
