"t","u","r","y","em_x","em_y",
0,-0.053599,-0.14544,0.12255,0,0,
0.2,-0.054079,-0.14784,0.12255,0.0097523,0.022845,
0.4,-0.054575,-0.15032,0.12255,0.02248,0.046056,
0.6,-0.055086,-0.15288,0.12255,0.038176,0.069632,
0.8,-0.055612,-0.15552,0.12254,0.056832,0.093574,
1,-0.05615,-0.15824,0.12251,0.078433,0.11788,
1.2,-0.0567,-0.16104,0.12246,0.10296,0.14254,
1.4,-0.057259,-0.16391,0.12239,0.1304,0.16756,
1.6,-0.057826,-0.16686,0.12227,0.16071,0.19293,
1.8,-0.058397,-0.16989,0.1221,0.19388,0.21865,
2,-0.058969,-0.17299,0.12186,0.22987,0.24471,
2.2,-0.059539,-0.17616,0.12153,0.26865,0.27111,
2.4,-0.060103,-0.17941,0.1211,0.31017,0.29782,
2.6,-0.060656,-0.18273,0.12055,0.3544,0.32485,
2.8,-0.061194,-0.18611,0.11986,0.4013,0.35218,
3,-0.061713,-0.18957,0.119,0.45082,0.37979,
3.2,-0.062207,-0.19308,0.11795,0.50291,0.40767,
3.4,-0.06267,-0.19666,0.11669,0.55753,0.4358,
3.6,-0.063097,-0.2003,0.11519,0.61462,0.46414,
3.8,-0.063482,-0.20399,0.11342,0.67413,0.49269,
4,-0.063818,-0.20774,0.11135,0.73601,0.5214,
4.2,-0.0641,-0.21153,0.10897,0.80021,0.55025,
4.4,-0.064322,-0.21536,0.10624,0.86666,0.5792,
4.6,-0.064476,-0.21924,0.10314,0.93533,0.60821,
4.8,-0.064558,-0.22315,0.099641,1.0061,0.63724,
5,-0.064561,-0.22709,0.095718,1.079,0.66624,
5.2,-0.06448,-0.23105,0.09135,1.154,0.69515,
5.4,-0.064309,-0.23503,0.086516,1.2309,0.72394,
5.6,-0.064043,-0.23902,0.081199,1.3098,0.75254,
5.8,-0.063678,-0.24301,0.075382,1.3905,0.78088,
6,-0.063211,-0.247,0.069055,1.473,0.80892,
6.2,-0.062638,-0.25098,0.062209,1.5573,0.83658,
6.4,-0.061956,-0.25494,0.054838,1.6433,0.8638,
6.6,-0.061164,-0.25888,0.046942,1.7309,0.8905,
6.8,-0.060261,-0.26278,0.038525,1.8201,0.91663,
7,-0.059248,-0.26664,0.029595,1.9108,0.9421,
7.2,-0.058124,-0.27046,0.020163,2.003,0.96685,
7.4,-0.056892,-0.27421,0.010247,2.0966,0.99081,
7.6,-0.055555,-0.27791,-0.00013306,2.1915,1.0139,
7.8,-0.054115,-0.28153,-0.010952,2.2877,1.0361,
8,-0.052578,-0.28507,-0.022182,2.3851,1.0573,
8.2,-0.050947,-0.28853,-0.03379,2.4837,1.0774,
8.4,-0.04923,-0.29189,-0.045741,2.5834,1.0964,
8.6,-0.047431,-0.29515,-0.057997,2.6842,1.1143,
8.8,-0.045558,-0.29831,-0.070518,2.7859,1.1309,
9,-0.043619,-0.30136,-0.083263,2.8886,1.1463,
9.2,-0.04162,-0.30429,-0.096189,2.9921,1.1604,
9.4,-0.039569,-0.3071,-0.10925,3.0964,1.1732,
9.6,-0.037475,-0.30978,-0.12241,3.2014,1.1846,
9.8,-0.035344,-0.31234,-0.13562,3.3071,1.1946,
10,-0.033186,-0.31477,-0.14884,3.4135,1.2032,
10.2,-0.031007,-0.31706,-0.16203,3.5204,1.2104,
10.4,-0.028815,-0.31923,-0.17515,3.6278,1.2162,
10.6,-0.026618,-0.32125,-0.18816,3.7357,1.2206,
10.8,-0.02442,-0.32314,-0.20104,3.844,1.2235,
11,-0.022229,-0.3249,-0.21375,3.9527,1.225,
11.2,-0.020051,-0.32651,-0.22626,4.0617,1.2252,
11.4,-0.017889,-0.328,-0.23855,4.171,1.2239,
11.6,-0.01575,-0.32935,-0.2506,4.2806,1.2213,
11.8,-0.013636,-0.33057,-0.26239,4.3903,1.2173,
12,-0.011551,-0.33166,-0.2739,4.5002,1.2121,
12.2,-0.0094975,-0.33262,-0.28513,4.6103,1.2055,
12.4,-0.0074776,-0.33346,-0.29607,4.7205,1.1977,
12.6,-0.0054926,-0.33417,-0.30671,4.8308,1.1886,
12.8,-0.0035439,-0.33477,-0.31705,4.9411,1.1784,
13,-0.0016311,-0.33525,-0.32709,5.0515,1.1669,
13.2,0.00024574,-0.33561,-0.33684,5.1619,1.1544,
13.4,0.0020873,-0.33587,-0.3463,5.2723,1.1407,
13.6,0.0038942,-0.33601,-0.35548,5.3827,1.126,
13.8,0.005667,-0.33605,-0.36439,5.493,1.1103,
14,0.0074061,-0.33599,-0.37302,5.6033,1.0935,
14.2,0.0091107,-0.33583,-0.38138,5.7136,1.0757,
14.4,0.01078,-0.33557,-0.38947,5.8238,1.0571,
14.6,0.012412,-0.33522,-0.39729,5.9339,1.0375,
14.8,0.014007,-0.33478,-0.40482,6.0439,1.017,
15,0.01556,-0.33426,-0.41206,6.1538,0.99564,
15.2,0.017071,-0.33365,-0.419,6.2636,0.97349,
15.4,0.018536,-0.33296,-0.42564,6.3733,0.95057,
15.6,0.019953,-0.33219,-0.43196,6.4829,0.9269,
15.8,0.021319,-0.33135,-0.43794,6.5924,0.90252,
16,0.02263,-0.33044,-0.44359,6.7018,0.87747,
16.2,0.023883,-0.32947,-0.44888,6.8111,0.8518,
16.4,0.025074,-0.32843,-0.45381,6.9203,0.82553,
16.6,0.026201,-0.32734,-0.45835,7.0294,0.79871,
16.8,0.02726,-0.3262,-0.4625,7.1384,0.77138,
17,0.028248,-0.32501,-0.46625,7.2474,0.74359,
17.2,0.029161,-0.32378,-0.46958,7.3563,0.71538,
17.4,0.029997,-0.32251,-0.47249,7.4652,0.68679,
17.6,0.030753,-0.3212,-0.47497,7.5741,0.65788,
17.8,0.031427,-0.31987,-0.47701,7.6829,0.62868,
18,0.032016,-0.31852,-0.4786,7.7918,0.59925,
18.2,0.03252,-0.31714,-0.47975,7.9007,0.56962,
18.4,0.032937,-0.31576,-0.48044,8.0096,0.53986,
