"t","u","r","y","em_x","em_y",
0,0.025968,-3.0795,-3.2094,0,0,
0.2,0.025594,-3.0814,3.0738,0.00040601,-0.018709,
0.4,0.025228,-3.0832,3.0738,-0.0021787,-0.037214,
0.6,0.024869,-3.085,3.0738,-0.0077482,-0.055517,
0.8,0.024518,-3.0868,3.0738,-0.016292,-0.073618,
1,0.024174,-3.0885,3.0738,-0.027797,-0.091519,
1.2,0.023837,-3.0902,3.0738,-0.042245,-0.10922,
1.4,0.023506,-3.0918,3.0739,-0.059614,-0.12672,
1.6,0.023181,-3.0934,3.0739,-0.079879,-0.14403,
1.8,0.022862,-3.095,3.0739,-0.10301,-0.16114,
2,0.022548,-3.0965,3.0739,-0.12898,-0.17806,
2.2,0.022239,-3.098,3.074,-0.15775,-0.1948,
2.4,0.021934,-3.0994,3.0741,-0.18927,-0.21134,
2.6,0.021633,-3.1009,3.0742,-0.22352,-0.22771,
2.8,0.021335,-3.1023,3.0743,-0.26045,-0.2439,
3,0.02104,-3.1036,3.0744,-0.3,-0.25992,
3.2,0.020747,-3.1049,3.0745,-0.34214,-0.27577,
3.4,0.020455,-3.1062,3.0747,-0.3868,-0.29145,
3.6,0.020165,-3.1075,3.0749,-0.43395,-0.30698,
3.8,0.019875,-3.1087,3.0751,-0.48351,-0.32236,
4,0.019586,-3.1099,3.0754,-0.53545,-0.33759,
4.2,0.019296,-3.1111,3.0756,-0.5897,-0.35269,
4.4,0.019005,-3.1122,3.0759,-0.6462,-0.36765,
4.6,0.018714,-3.1133,3.0763,-0.7049,-0.38248,
4.8,0.018421,-3.1144,3.0767,-0.76574,-0.3972,
5,0.018127,-3.1155,3.0771,-0.82865,-0.41181,
5.2,0.01783,-3.1165,3.0775,-0.89359,-0.42632,
5.4,0.017531,-3.1176,3.078,-0.96048,-0.44073,
5.6,0.017229,-3.1186,3.0785,-1.0293,-0.45505,
5.8,0.016925,-3.1195,3.079,-1.0999,-0.4693,
6,0.016617,-3.1205,3.0796,-1.1723,-0.48347,
6.2,0.016307,-3.1215,3.0802,-1.2464,-0.49758,
6.4,0.015993,-3.1224,3.0808,-1.3222,-0.51164,
6.6,0.015675,-3.1233,3.0815,-1.3997,-0.52565,
6.8,0.015355,-3.1242,3.0822,-1.4786,-0.53963,
7,0.015031,-3.1251,3.0829,-1.5591,-0.55357,
7.2,0.014703,-3.126,3.0837,-1.641,-0.56749,
7.4,0.014373,-3.1269,3.0845,-1.7243,-0.58139,
7.6,0.014039,-3.1277,3.0853,-1.8089,-0.59528,
7.8,0.013702,-3.1286,3.0861,-1.8948,-0.60918,
8,0.013361,-3.1294,3.0869,-1.9819,-0.62308,
8.2,0.013018,-3.1303,3.0878,-2.0703,-0.63699,
8.4,0.012673,-3.1311,3.0887,-2.1598,-0.65092,
8.6,0.012324,-3.1319,3.0896,-2.2503,-0.66488,
8.8,0.011973,-3.1328,3.0905,-2.342,-0.67887,
9,0.011621,-3.1336,3.0915,-2.4346,-0.69289,
9.2,0.011266,-3.1344,3.0924,-2.5282,-0.70696,
9.4,0.010909,-3.1352,3.0934,-2.6227,-0.72107,
9.6,0.010552,-3.1361,3.0944,-2.7181,-0.73523,
9.8,0.010193,-3.1369,3.0953,-2.8144,-0.74945,
10,0.0098325,-3.1377,3.0963,-2.9115,-0.76373,
10.2,0.0094719,-3.1385,3.0973,-3.0093,-0.77807,
10.4,0.0091108,-3.1394,3.0983,-3.1079,-0.79247,
10.6,0.0087496,-3.1402,3.0992,-3.2072,-0.80694,
10.8,0.0083885,-3.141,3.1002,-3.3072,-0.82148,
11,0.0080277,3.1413,3.1012,-3.4079,-0.8361,
11.2,0.0076674,3.1405,3.1021,-3.5091,-0.85078,
11.4,0.007308,3.1396,3.1031,-3.611,-0.86555,
11.6,0.0069496,3.1388,3.104,-3.7134,-0.88039,
11.8,0.0065924,3.1379,3.105,-3.8163,-0.89531,
12,0.0062366,3.1371,3.1059,-3.9198,-0.91031,
12.2,0.0058825,3.1362,3.1068,-4.0237,-0.92539,
12.4,0.00553,3.1353,3.1077,-4.1281,-0.94054,
12.6,0.0051796,3.1345,3.1086,-4.233,-0.95578,
12.8,0.0048313,3.1336,3.1094,-4.3383,-0.9711,
13,0.0044852,3.1327,3.1103,-4.444,-0.98649,
13.2,0.0041414,3.1318,3.1111,-4.5501,-1.002,
13.4,0.0038001,3.1309,3.1119,-4.6565,-1.0175,
13.6,0.0034612,3.13,3.1127,-4.7633,-1.0331,
13.8,0.003125,3.1291,3.1135,-4.8705,-1.0488,
14,0.0027914,3.1282,3.1143,-4.9779,-1.0646,
14.2,0.0024606,3.1273,3.115,-5.0857,-1.0805,
14.4,0.0021326,3.1264,3.1157,-5.1937,-1.0964,
14.6,0.0018072,3.1254,3.1164,-5.302,-1.1124,
14.8,0.0014847,3.1245,3.1171,-5.4106,-1.1285,
15,0.0011648,3.1236,3.1178,-5.5194,-1.1446,
15.2,0.00084763,3.1226,3.1184,-5.6285,-1.1608,
15.4,0.00053317,3.1217,3.119,-5.7378,-1.1771,
15.6,0.00022136,3.1207,3.1196,-5.8473,-1.1934,
15.8,-8.7899e-05,3.1198,3.1202,-5.9569,-1.2098,
16,-0.00039475,3.1188,3.1208,-6.0668,-1.2262,
16.2,-0.00069893,3.1178,3.1213,-6.1769,-1.2427,
16.4,-0.001001,3.1169,3.1219,-6.2872,-1.2593,
16.6,-0.0013007,3.1159,3.1224,-6.3976,-1.2759,
16.8,-0.0015982,3.1149,3.1229,-6.5081,-1.2926,
17,-0.0018935,3.1139,3.1234,-6.6189,-1.3093,
17.2,-0.0021864,3.1129,3.1239,-6.7297,-1.3261,
17.4,-0.0024772,3.1119,3.1243,-6.8407,-1.343,
17.6,-0.0027654,3.1109,3.1248,-6.9519,-1.3598,
17.8,-0.0030516,3.1099,3.1252,-7.0631,-1.3768,
18,-0.0033351,3.1089,3.1256,-7.1745,-1.3938,
18.2,-0.0036163,3.1079,3.126,-7.286,-1.4108,
18.4,-0.0038948,3.1069,3.1264,-7.3975,-1.4278,
18.6,-0.0041706,3.1059,3.1267,-7.5092,-1.4449,
18.8,-0.004444,3.1049,3.1271,-7.621,-1.4621,
19,-0.0047142,3.1038,3.1274,-7.7329,-1.4793,
19.2,-0.0049815,3.1028,3.1277,-7.8448,-1.4965,
19.4,-0.0052456,3.1018,3.128,-7.9568,-1.5137,
19.6,-0.0055064,3.1007,3.1283,-8.069,-1.531,
19.8,-0.005764,3.0997,3.1285,-8.1811,-1.5483,
20,-0.0060177,3.0987,3.1287,-8.2934,-1.5656,
20.2,-0.0062679,3.0976,3.129,-8.4057,-1.583,
20.4,-0.0065141,3.0966,3.1291,-8.5181,-1.6003,
20.6,-0.0067562,3.0955,3.1293,-8.6305,-1.6177,
20.8,-0.0069941,3.0945,3.1295,-8.743,-1.6352,
21,-0.0072275,3.0934,3.1296,-8.8556,-1.6526,
21.2,-0.0074563,3.0924,3.1297,-8.9682,-1.67,
21.4,-0.0076803,3.0913,3.1297,-9.0808,-1.6875,
21.6,-0.0078992,3.0903,3.1298,-9.1935,-1.7049,
21.8,-0.0081129,3.0892,3.1298,-9.3063,-1.7224,
22,-0.0083214,3.0882,3.1298,-9.4191,-1.7398,
22.2,-0.0085243,3.0871,3.1298,-9.5319,-1.7573,
22.4,-0.0087214,3.0861,3.1297,-9.6447,-1.7747,
22.6,-0.0089127,3.085,3.1296,-9.7576,-1.7922,
22.8,-0.0090979,3.084,3.1295,-9.8706,-1.8096,
23,-0.0092766,3.0829,3.1293,-9.9835,-1.827,
23.2,-0.0094491,3.0819,3.1292,-10.0965,-1.8444,
23.4,-0.009615,3.0809,3.1289,-10.2095,-1.8618,
