"t","u","r","y","em_x","em_y",
0,-0.024735,-3.0179,-2.8943,0,0,
0.2,-0.024292,-3.0157,-2.8943,0.03312,0.02644,
0.4,-0.023856,-3.0135,-2.8943,0.063335,0.052146,
0.6,-0.023428,-3.0114,-2.8943,0.090648,0.07712,
0.8,-0.023006,-3.0093,-2.8943,0.11507,0.10136,
1,-0.022592,-3.0072,-2.8943,0.13662,0.12488,
1.2,-0.022184,-3.0052,-2.8943,0.1553,0.14768,
1.4,-0.021782,-3.0032,-2.8943,0.17115,0.16975,
1.6,-0.021386,-3.0012,-2.8943,0.18418,0.19112,
1.8,-0.020996,-2.9993,-2.8943,0.19443,0.21179,
2,-0.020611,-2.9974,-2.8944,0.20192,0.23176,
2.2,-0.020231,-2.9956,-2.8944,0.20669,0.25105,
2.4,-0.019855,-2.9938,-2.8945,0.20877,0.26966,
2.6,-0.019483,-2.992,-2.8946,0.20821,0.2876,
2.8,-0.019114,-2.9902,-2.8946,0.20505,0.30489,
3,-0.018749,-2.9885,-2.8947,0.19934,0.32155,
3.2,-0.018387,-2.9868,-2.8949,0.19111,0.33757,
3.4,-0.018027,-2.9851,-2.895,0.18043,0.35298,
3.6,-0.017669,-2.9835,-2.8952,0.16733,0.36779,
3.8,-0.017312,-2.9819,-2.8953,0.15188,0.38202,
4,-0.016957,-2.9803,-2.8955,0.13412,0.39568,
4.2,-0.016603,-2.9788,-2.8958,0.11412,0.40879,
4.4,-0.01625,-2.9773,-2.896,0.091916,0.42135,
4.6,-0.015898,-2.9758,-2.8963,0.067579,0.4334,
4.8,-0.015545,-2.9743,-2.8966,0.041162,0.44495,
5,-0.015193,-2.9728,-2.8969,0.012721,0.45601,
5.2,-0.014841,-2.9714,-2.8972,-0.017685,0.4666,
5.4,-0.014488,-2.97,-2.8976,-0.049999,0.47674,
5.6,-0.014135,-2.9686,-2.8979,-0.084164,0.48644,
5.8,-0.013782,-2.9672,-2.8983,-0.12012,0.49573,
6,-0.013428,-2.9659,-2.8988,-0.15782,0.50462,
6.2,-0.013073,-2.9646,-2.8992,-0.19719,0.51312,
6.4,-0.012718,-2.9632,-2.8997,-0.23819,0.52126,
6.6,-0.012362,-2.9619,-2.9001,-0.28077,0.52905,
6.8,-0.012006,-2.9607,-2.9006,-0.32485,0.53651,
7,-0.011649,-2.9594,-2.9011,-0.3704,0.54365,
7.2,-0.011291,-2.9581,-2.9017,-0.41736,0.55049,
7.4,-0.010933,-2.9569,-2.9022,-0.46568,0.55704,
7.6,-0.010575,-2.9556,-2.9028,-0.51531,0.56332,
7.8,-0.010217,-2.9544,-2.9033,-0.56619,0.56935,
8,-0.0098582,-2.9532,-2.9039,-0.61829,0.57513,
8.2,-0.0094997,-2.952,-2.9045,-0.67155,0.58068,
8.4,-0.0091413,-2.9508,-2.9051,-0.72594,0.58602,
8.6,-0.0087832,-2.9496,-2.9057,-0.7814,0.59116,
8.8,-0.0084254,-2.9484,-2.9063,-0.83789,0.5961,
9,-0.0080683,-2.9472,-2.9069,-0.89537,0.60087,
9.2,-0.0077119,-2.946,-2.9075,-0.9538,0.60546,
9.4,-0.0073563,-2.9449,-2.9081,-1.0131,0.6099,
9.6,-0.0070018,-2.9437,-2.9087,-1.0734,0.61419,
9.8,-0.0066483,-2.9425,-2.9093,-1.1344,0.61835,
10,-0.0062961,-2.9414,-2.9099,-1.1963,0.62237,
10.2,-0.0059454,-2.9402,-2.9105,-1.2589,0.62627,
10.4,-0.0055963,-2.939,-2.911,-1.3222,0.63006,
10.6,-0.0052488,-2.9379,-2.9116,-1.3863,0.63375,
10.8,-0.0049031,-2.9367,-2.9122,-1.451,0.63734,
11,-0.0045593,-2.9356,-2.9128,-1.5164,0.64084,
11.2,-0.0042173,-2.9344,-2.9133,-1.5824,0.64426,
11.4,-0.0038776,-2.9332,-2.9139,-1.6489,0.64759,
11.6,-0.00354,-2.9321,-2.9144,-1.716,0.65086,
11.8,-0.0032045,-2.9309,-2.9149,-1.7837,0.65406,
12,-0.0028713,-2.9298,-2.9154,-1.8519,0.6572,
12.2,-0.0025403,-2.9286,-2.9159,-1.9205,0.66028,
12.4,-0.0022118,-2.9275,-2.9164,-1.9896,0.6633,
12.6,-0.0018855,-2.9263,-2.9169,-2.0592,0.66628,
12.8,-0.0015615,-2.9251,-2.9173,-2.1292,0.66921,
13,-0.0012399,-2.924,-2.9178,-2.1996,0.6721,
13.2,-0.0009206,-2.9228,-2.9182,-2.2704,0.67495,
13.4,-0.00060339,-2.9217,-2.9186,-2.3415,0.67777,
13.6,-0.00028854,-2.9205,-2.919,-2.413,0.68055,
13.8,2.4081e-05,-2.9193,-2.9194,-2.4848,0.68331,
14,0.00033467,-2.9182,-2.9198,-2.5569,0.68603,
14.2,0.00064339,-2.917,-2.9202,-2.6294,0.68873,
14.4,0.00094996,-2.9158,-2.9206,-2.7021,0.69141,
14.6,0.0012546,-2.9147,-2.9209,-2.7751,0.69407,
14.8,0.0015574,-2.9135,-2.9213,-2.8484,0.6967,
15,0.0018583,-2.9123,-2.9216,-2.9219,0.69932,
15.2,0.0021574,-2.9111,-2.9219,-2.9956,0.70193,
15.4,0.0024545,-2.91,-2.9222,-3.0696,0.70452,
15.6,0.0027498,-2.9088,-2.9225,-3.1438,0.7071,
15.8,0.0030431,-2.9076,-2.9228,-3.2182,0.70966,
16,0.0033341,-2.9064,-2.9231,-3.2927,0.71221,
16.2,0.0036232,-2.9052,-2.9234,-3.3675,0.71476,
16.4,0.00391,-2.9041,-2.9236,-3.4424,0.71729,
16.6,0.0041945,-2.9029,-2.9238,-3.5175,0.71982,
16.8,0.0044765,-2.9017,-2.9241,-3.5928,0.72234,
17,0.0047561,-2.9005,-2.9243,-3.6682,0.72485,
17.2,0.0050329,-2.8993,-2.9245,-3.7438,0.72735,
17.4,0.0053067,-2.8981,-2.9247,-3.8195,0.72984,
17.6,0.0055778,-2.8969,-2.9248,-3.8953,0.73232,
17.8,0.0058454,-2.8957,-2.925,-3.9713,0.7348,
18,0.0061099,-2.8945,-2.9251,-4.0473,0.73726,
18.2,0.0063708,-2.8934,-2.9252,-4.1235,0.73972,
18.4,0.0066281,-2.8922,-2.9253,-4.1998,0.74216,
18.6,0.0068815,-2.891,-2.9254,-4.2761,0.7446,
18.8,0.0071305,-2.8898,-2.9254,-4.3526,0.74702,
19,0.0073757,-2.8886,-2.9255,-4.4292,0.74942,
19.2,0.0076161,-2.8874,-2.9255,-4.5058,0.75181,
19.4,0.0078518,-2.8862,-2.9255,-4.5825,0.75418,
19.6,0.0080828,-2.885,-2.9254,-4.6593,0.75654,
19.8,0.0083085,-2.8838,-2.9254,-4.7362,0.75887,
20,0.0085287,-2.8826,-2.9253,-4.8131,0.76118,
20.2,0.0087436,-2.8814,-2.9252,-4.8901,0.76346,
20.4,0.0089529,-2.8803,-2.925,-4.9672,0.76571,
20.6,0.0091558,-2.8791,-2.9249,-5.0443,0.76794,
20.8,0.0093532,-2.8779,-2.9247,-5.1214,0.77013,
21,0.0095436,-2.8767,-2.9244,-5.1986,0.77229,
21.2,0.0097275,-2.8755,-2.9242,-5.2759,0.77441,
21.4,0.009905,-2.8744,-2.9239,-5.3532,0.77649,
21.6,0.010075,-2.8732,-2.9236,-5.4305,0.77853,
21.8,0.010239,-2.872,-2.9232,-5.5078,0.78052,
22,0.010395,-2.8709,-2.9229,-5.5852,0.78246,
22.2,0.010544,-2.8697,-2.9224,-5.6627,0.78435,
22.4,0.010685,-2.8686,-2.922,-5.7401,0.78618,
22.6,0.010819,-2.8674,-2.9215,-5.8176,0.78795,
22.8,0.010944,-2.8663,-2.921,-5.895,0.78966,
23,0.011062,-2.8652,-2.9205,-5.9726,0.79131,
23.2,0.011172,-2.864,-2.9199,-6.0501,0.79288,
23.4,0.011273,-2.8629,-2.9193,-6.1276,0.79438,
23.6,0.011367,-2.8618,-2.9186,-6.2052,0.79581,
23.8,0.011452,-2.8607,-2.918,-6.2827,0.79716,
24,0.011529,-2.8596,-2.9173,-6.3603,0.79842,
24.2,0.011598,-2.8585,-2.9165,-6.4378,0.79959,
24.4,0.011658,-2.8574,-2.9157,-6.5154,0.80068,
24.6,0.01171,-2.8564,-2.9149,-6.593,0.80167,
24.8,0.011753,-2.8553,-2.9141,-6.6705,0.80256,
25,0.011789,-2.8543,-2.9132,-6.7481,0.80336,
25.2,0.011815,-2.8532,-2.9123,-6.8256,0.80405,
25.4,0.011834,-2.8522,-2.9114,-6.9032,0.80463,
25.6,0.011844,-2.8512,-2.9104,-6.9807,0.80511,
25.8,0.011847,-2.8502,-2.9094,-7.0583,0.80546,
