"t","u","r","y","em_x","em_y",
0,0.056611,-0.41059,-0.69365,0,0,
0.2,0.057144,-0.40793,-0.69365,-0.029731,-0.016085,
0.4,0.057692,-0.40519,-0.69365,-0.057157,-0.034087,
0.6,0.058257,-0.40236,-0.69364,-0.082282,-0.054001,
0.8,0.058837,-0.39945,-0.69363,-0.10512,-0.075821,
1,0.05943,-0.39645,-0.6936,-0.12567,-0.099539,
1.2,0.060035,-0.39337,-0.69355,-0.14395,-0.12514,
1.4,0.06065,-0.39021,-0.69347,-0.15998,-0.15262,
1.6,0.061272,-0.38697,-0.69333,-0.17378,-0.18194,
1.8,0.061897,-0.38365,-0.69314,-0.18536,-0.2131,
2,0.062523,-0.38025,-0.69287,-0.19475,-0.24607,
2.2,0.063146,-0.37678,-0.69251,-0.20198,-0.28083,
2.4,0.06376,-0.37322,-0.69203,-0.20707,-0.31735,
2.6,0.064362,-0.3696,-0.69141,-0.21005,-0.35558,
2.8,0.064946,-0.3659,-0.69063,-0.21095,-0.39551,
3,0.065507,-0.36213,-0.68966,-0.20979,-0.43709,
3.2,0.066039,-0.35829,-0.68848,-0.20661,-0.48028,
3.4,0.066535,-0.35439,-0.68706,-0.20143,-0.52504,
3.6,0.06699,-0.35042,-0.68537,-0.19429,-0.57131,
3.8,0.067396,-0.3464,-0.68338,-0.1852,-0.61905,
4,0.067747,-0.34232,-0.68106,-0.17421,-0.6682,
4.2,0.068036,-0.3382,-0.67838,-0.16132,-0.7187,
4.4,0.068256,-0.33402,-0.6753,-0.14658,-0.77048,
4.6,0.0684,-0.32981,-0.67181,-0.13,-0.82349,
4.8,0.068461,-0.32557,-0.66787,-0.11159,-0.87766,
5,0.068433,-0.32129,-0.66346,-0.091394,-0.9329,
5.2,0.068309,-0.317,-0.65854,-0.069411,-0.98914,
5.4,0.068084,-0.31268,-0.6531,-0.045663,-1.0463,
5.6,0.067753,-0.30836,-0.64712,-0.020163,-1.1043,
5.8,0.06731,-0.30404,-0.64059,0.0070774,-1.1631,
