"t","u","r","y","em_x","em_y",
0,-0.020711,-2.3034,-2.1999,0,0,
0.2,-0.02072,-2.3035,-2.1999,0.031202,0.033938,
0.4,-0.020737,-2.3036,-2.1999,0.06064,0.065452,
0.6,-0.020759,-2.3037,-2.1999,0.088318,0.094547,
0.8,-0.020787,-2.3038,-2.1999,0.11424,0.12123,
1,-0.020821,-2.304,-2.1999,0.13842,0.14552,
1.2,-0.02086,-2.3042,-2.1999,0.16086,0.16742,
1.4,-0.020905,-2.3044,-2.1999,0.18158,0.18695,
1.6,-0.020954,-2.3047,-2.1999,0.20059,0.20413,
1.8,-0.021008,-2.305,-2.2,0.21791,0.219,
2,-0.021066,-2.3053,-2.2,0.23356,0.23156,
2.2,-0.021128,-2.3057,-2.2,0.24755,0.24186,
2.4,-0.021193,-2.3061,-2.2001,0.25991,0.24992,
2.6,-0.02126,-2.3065,-2.2002,0.27067,0.25578,
2.8,-0.021329,-2.3069,-2.2002,0.27985,0.25947,
3,-0.0214,-2.3074,-2.2004,0.28747,0.26104,
3.2,-0.021471,-2.3078,-2.2005,0.29356,0.26051,
3.4,-0.021542,-2.3084,-2.2006,0.29816,0.25794,
3.6,-0.021613,-2.3089,-2.2008,0.30129,0.25337,
3.8,-0.021682,-2.3095,-2.2011,0.30298,0.24685,
4,-0.021749,-2.31,-2.2013,0.30325,0.23841,
4.2,-0.021812,-2.3107,-2.2016,0.30216,0.22811,
4.4,-0.021872,-2.3113,-2.2019,0.29971,0.216,
4.6,-0.021928,-2.3119,-2.2023,0.29595,0.20212,
4.8,-0.021978,-2.3126,-2.2027,0.29091,0.18653,
5,-0.022022,-2.3133,-2.2032,0.28462,0.16928,
5.2,-0.022059,-2.314,-2.2037,0.2771,0.15042,
5.4,-0.022089,-2.3147,-2.2043,0.2684,0.13,
5.6,-0.02211,-2.3154,-2.2049,0.25853,0.10807,
5.8,-0.022121,-2.3162,-2.2056,0.24754,0.084685,
6,-0.022123,-2.3169,-2.2063,0.23545,0.059897,
6.2,-0.022114,-2.3177,-2.2071,0.22229,0.033758,
6.4,-0.022094,-2.3185,-2.208,0.20808,0.0063188,
