"t","u","r","y","em_x","em_y",
0,0.093944,-0.69195,-1.1617,0,0,
0.2,0.094059,-0.69138,-1.1617,-0.015055,0.0050393,
0.4,0.0942,-0.69067,-1.1617,-0.028918,0.0073283,
0.6,0.094366,-0.68983,-1.1617,-0.041591,0.0068727,
0.8,0.094555,-0.68885,-1.1616,-0.053078,0.0036818,
1,0.094762,-0.68774,-1.1615,-0.063383,-0.0022315,
1.2,0.094985,-0.68649,-1.1614,-0.072513,-0.01085,
1.4,0.095217,-0.68511,-1.1612,-0.080475,-0.022154,
1.6,0.095452,-0.6836,-1.1609,-0.087276,-0.036117,
1.8,0.095684,-0.68196,-1.1604,-0.092922,-0.052713,
2,0.095904,-0.6802,-1.1597,-0.097421,-0.071908,
2.2,0.096104,-0.67831,-1.1588,-0.10078,-0.093666,
2.4,0.096275,-0.6763,-1.1577,-0.103,-0.11795,
2.6,0.096408,-0.67417,-1.1562,-0.10408,-0.14471,
2.8,0.096491,-0.67192,-1.1544,-0.10402,-0.17389,
3,0.096514,-0.66957,-1.1521,-0.10283,-0.20546,
3.2,0.096466,-0.66711,-1.1494,-0.10048,-0.23935,
3.4,0.096335,-0.66455,-1.1462,-0.096977,-0.27549,
3.6,0.096111,-0.66189,-1.1425,-0.092297,-0.31383,
3.8,0.095782,-0.65915,-1.1381,-0.086421,-0.35429,
4,0.095337,-0.65633,-1.133,-0.079324,-0.39681,
4.2,0.094766,-0.65344,-1.1273,-0.070976,-0.44129,
4.4,0.094057,-0.65048,-1.1208,-0.06134,-0.48766,
4.6,0.093203,-0.64746,-1.1135,-0.050378,-0.53584,
4.8,0.092194,-0.64441,-1.1054,-0.038044,-0.58572,
5,0.091024,-0.64132,-1.0964,-0.024288,-0.63722,
5.2,0.089686,-0.6382,-1.0866,-0.0090602,-0.69024,
5.4,0.088176,-0.63507,-1.076,0.0076969,-0.74466,
5.6,0.08649,-0.63195,-1.0644,0.02604,-0.80039,
5.8,0.084629,-0.62883,-1.052,0.046029,-0.85731,
6,0.082591,-0.62575,-1.0387,0.067723,-0.91531,
6.2,0.08038,-0.6227,-1.0246,0.09118,-0.97427,
6.4,0.077998,-0.6197,-1.0097,0.11646,-1.0341,
6.6,0.075453,-0.61676,-0.99402,0.14361,-1.0946,
6.8,0.072751,-0.6139,-0.97765,0.17268,-1.1557,
7,0.069901,-0.61113,-0.96063,0.20372,-1.2173,
7.2,0.066914,-0.60846,-0.94303,0.23677,-1.2793,
7.4,0.063801,-0.6059,-0.92491,0.27186,-1.3415,
7.6,0.060576,-0.60346,-0.90634,0.30901,-1.4038,
7.8,0.057251,-0.60116,-0.88742,0.34825,-1.4661,
8,0.053842,-0.599,-0.86821,0.38957,-1.5283,
8.2,0.050362,-0.59699,-0.84879,0.43298,-1.5903,
8.4,0.046826,-0.59513,-0.82926,0.47848,-1.6519,
8.6,0.043248,-0.59344,-0.80968,0.52604,-1.7132,
8.8,0.039644,-0.59192,-0.79014,0.57564,-1.7739,
9,0.036026,-0.59057,-0.7707,0.62726,-1.8341,
9.2,0.032407,-0.5894,-0.75144,0.68084,-1.8937,
9.4,0.028799,-0.58841,-0.7324,0.73636,-1.9525,
9.6,0.025212,-0.5876,-0.71366,0.79376,-2.0105,
9.8,0.021657,-0.58697,-0.69525,0.85299,-2.0677,
10,0.018141,-0.58652,-0.67723,0.914,-2.1241,
10.2,0.014672,-0.58625,-0.65961,0.97671,-2.1796,
10.4,0.011254,-0.58615,-0.64242,1.0411,-2.2341,
10.6,0.0078916,-0.58624,-0.6257,1.107,-2.2877,
10.8,0.0045877,-0.58649,-0.60943,1.1745,-2.3403,
11,0.0013434,-0.58692,-0.59363,1.2435,-2.392,
11.2,-0.0018416,-0.58751,-0.5783,1.3139,-2.4427,
11.4,-0.0049687,-0.58826,-0.56342,1.3856,-2.4923,
11.6,-0.0080386,-0.58918,-0.54898,1.4586,-2.541,
11.8,-0.011051,-0.59024,-0.53499,1.5328,-2.5887,
12,-0.014005,-0.59146,-0.52144,1.6082,-2.6355,
12.2,-0.016897,-0.59283,-0.50835,1.6848,-2.6812,
12.4,-0.019724,-0.59434,-0.49573,1.7624,-2.726,
12.6,-0.02248,-0.59599,-0.4836,1.841,-2.7698,
12.8,-0.025159,-0.59778,-0.47198,1.9206,-2.8127,
13,-0.027754,-0.59969,-0.46092,2.0011,-2.8547,
13.2,-0.030257,-0.60172,-0.45044,2.0825,-2.8958,
13.4,-0.032661,-0.60387,-0.44057,2.1646,-2.9361,
13.6,-0.034955,-0.60613,-0.43135,2.2476,-2.9756,
13.8,-0.037131,-0.60849,-0.42283,2.3312,-3.0144,
