"t","u","r","y","em_x","em_y",
0,-0.0048827,0.58362,0.60803,0,0,
0.2,-0.005712,0.57947,0.60803,-0.017977,0.037816,
0.4,-0.0065427,0.57532,0.60803,-0.033494,0.077345,
0.6,-0.0073749,0.57116,0.60803,-0.046556,0.11858,
0.8,-0.0082087,0.56699,0.60803,-0.057171,0.16152,
1,-0.0090438,0.56281,0.60803,-0.065349,0.20616,
1.2,-0.0098804,0.55863,0.60803,-0.071107,0.25248,
1.4,-0.010718,0.55444,0.60803,-0.074462,0.30047,
1.6,-0.011557,0.55024,0.60802,-0.075434,0.35013,
1.8,-0.012398,0.54603,0.60802,-0.074048,0.40142,
2,-0.013239,0.54182,0.60801,-0.070329,0.45434,
2.2,-0.014081,0.5376,0.608,-0.064306,0.50885,
2.4,-0.014923,0.53337,0.60798,-0.056012,0.56495,
2.6,-0.015765,0.52913,0.60795,-0.04548,0.62261,
2.8,-0.016607,0.52489,0.60792,-0.032746,0.6818,
3,-0.017448,0.52063,0.60787,-0.017848,0.74249,
3.2,-0.018287,0.51638,0.60781,-0.00082455,0.80465,
3.4,-0.019124,0.51211,0.60773,0.018282,0.86826,
3.6,-0.019958,0.50784,0.60762,0.03943,0.93329,
3.8,-0.020787,0.50356,0.60749,0.062575,0.9997,
4,-0.021612,0.49927,0.60733,0.087673,1.0675,
4.2,-0.02243,0.49498,0.60713,0.11468,1.1365,
4.4,-0.02324,0.49068,0.60689,0.14355,1.2069,
4.6,-0.024042,0.48638,0.60659,0.17423,1.2785,
4.8,-0.024833,0.48207,0.60624,0.20668,1.3513,
5,-0.025612,0.47776,0.60582,0.24086,1.4252,
5.2,-0.026376,0.47345,0.60533,0.27672,1.5003,
5.4,-0.027125,0.46913,0.60476,0.3142,1.5765,
5.6,-0.027856,0.46481,0.60409,0.35328,1.6537,
5.8,-0.028567,0.46049,0.60332,0.3939,1.7319,
6,-0.029255,0.45617,0.60245,0.43602,1.8111,
6.2,-0.029919,0.45185,0.60145,0.47961,1.8912,
6.4,-0.030556,0.44754,0.60032,0.52461,1.9721,
6.6,-0.031164,0.44322,0.59905,0.57099,2.0539,
6.8,-0.03174,0.43892,0.59762,0.61872,2.1365,
7,-0.032282,0.43462,0.59603,0.66775,2.2199,
7.2,-0.032788,0.43033,0.59427,0.71805,2.3039,
7.4,-0.033254,0.42606,0.59233,0.76959,2.3886,
7.6,-0.033679,0.42179,0.59019,0.82233,2.4738,
7.8,-0.034061,0.41755,0.58785,0.87625,2.5596,
8,-0.034397,0.41332,0.5853,0.93132,2.646,
8.2,-0.034685,0.40911,0.58253,0.98751,2.7328,
8.4,-0.034924,0.40492,0.57954,1.0448,2.8199,
8.6,-0.035111,0.40077,0.57632,1.1032,2.9075,
8.8,-0.035246,0.39664,0.57287,1.1626,2.9954,
9,-0.035327,0.39254,0.56917,1.223,3.0835,
9.2,-0.035352,0.38848,0.56524,1.2844,3.1718,
