"t","u","r","y","em_x","em_y",
0,-0.056464,-2.7303,-2.448,0,0,
0.2,-0.05595,-2.7277,-2.448,-0.022424,0.01827,
0.4,-0.055452,-2.7252,-2.448,-0.047153,0.034624,
0.6,-0.05497,-2.7228,-2.448,-0.074182,0.049066,
0.8,-0.054504,-2.7205,-2.448,-0.1035,0.061601,
1,-0.054051,-2.7183,-2.448,-0.13511,0.072239,
1.2,-0.053611,-2.7161,-2.4481,-0.16898,0.080992,
1.4,-0.053181,-2.714,-2.4481,-0.2051,0.087874,
1.6,-0.05276,-2.712,-2.4482,-0.24346,0.092902,
1.8,-0.052347,-2.7101,-2.4484,-0.28403,0.096096,
2,-0.051937,-2.7083,-2.4486,-0.32679,0.097478,
2.2,-0.05153,-2.7065,-2.4489,-0.37171,0.097073,
2.4,-0.051123,-2.7048,-2.4492,-0.41877,0.094908,
2.6,-0.050713,-2.7032,-2.4497,-0.46794,0.091014,
2.8,-0.050297,-2.7017,-2.4502,-0.51918,0.085422,
3,-0.049872,-2.7002,-2.4509,-0.57247,0.078169,
3.2,-0.049437,-2.6988,-2.4517,-0.62777,0.069292,
3.4,-0.048988,-2.6975,-2.4526,-0.68505,0.05883,
3.6,-0.048523,-2.6962,-2.4536,-0.74428,0.046827,
3.8,-0.048039,-2.695,-2.4548,-0.80542,0.033325,
4,-0.047533,-2.6939,-2.4562,-0.86844,0.018371,
4.2,-0.047004,-2.6928,-2.4578,-0.93331,0.002014,
4.4,-0.046448,-2.6917,-2.4595,-0.99998,-0.015697,
4.6,-0.045864,-2.6907,-2.4614,-1.0684,-0.034709,
4.8,-0.04525,-2.6898,-2.4635,-1.1386,-0.05497,
5,-0.044605,-2.6889,-2.4659,-1.2105,-0.076426,
5.2,-0.043926,-2.688,-2.4684,-1.2841,-0.099021,
5.4,-0.043212,-2.6872,-2.4711,-1.3593,-0.1227,
5.6,-0.042464,-2.6864,-2.4741,-1.4362,-0.1474,
5.8,-0.041679,-2.6856,-2.4772,-1.5146,-0.17308,
6,-0.040857,-2.6848,-2.4805,-1.5946,-0.19966,
6.2,-0.039999,-2.6841,-2.4841,-1.676,-0.22709,
6.4,-0.039105,-2.6834,-2.4878,-1.759,-0.25533,
6.6,-0.038174,-2.6826,-2.4918,-1.8435,-0.2843,
6.8,-0.037209,-2.6819,-2.4959,-1.9293,-0.31395,
7,-0.036209,-2.6812,-2.5002,-2.0166,-0.34423,
7.2,-0.035175,-2.6805,-2.5046,-2.1052,-0.37507,
7.4,-0.034111,-2.6798,-2.5092,-2.1952,-0.40644,
7.6,-0.033016,-2.679,-2.5139,-2.2865,-0.43827,
7.8,-0.031894,-2.6783,-2.5188,-2.3791,-0.47052,
8,-0.030746,-2.6775,-2.5238,-2.4729,-0.50313,
8.2,-0.029574,-2.6767,-2.5289,-2.568,-0.53606,
8.4,-0.028381,-2.6759,-2.534,-2.6643,-0.56927,
8.6,-0.027169,-2.6751,-2.5392,-2.7617,-0.60271,
8.8,-0.025941,-2.6742,-2.5445,-2.8603,-0.63634,
9,-0.024699,-2.6733,-2.5498,-2.96,-0.67012,
9.2,-0.023447,-2.6724,-2.5552,-3.0608,-0.70401,
9.4,-0.022185,-2.6715,-2.5605,-3.1626,-0.73799,
9.6,-0.020918,-2.6705,-2.5659,-3.2654,-0.77202,
9.8,-0.019647,-2.6694,-2.5712,-3.3693,-0.80608,
10,-0.018375,-2.6684,-2.5765,-3.4741,-0.84013,
10.2,-0.017103,-2.6673,-2.5817,-3.5798,-0.87415,
10.4,-0.015835,-2.6661,-2.5869,-3.6865,-0.90812,
10.6,-0.014573,-2.6649,-2.592,-3.794,-0.94202,
10.8,-0.013317,-2.6637,-2.5971,-3.9024,-0.97583,
11,-0.01207,-2.6624,-2.602,-4.0116,-1.0095,
11.2,-0.010833,-2.6611,-2.6069,-4.1215,-1.0431,
11.4,-0.0096075,-2.6597,-2.6117,-4.2323,-1.0766,
11.6,-0.0083947,-2.6583,-2.6163,-4.3437,-1.1099,
11.8,-0.0071957,-2.6569,-2.6209,-4.4559,-1.1431,
12,-0.0060109,-2.6554,-2.6253,-4.5688,-1.1761,
12.2,-0.004841,-2.6538,-2.6296,-4.6823,-1.209,
12.4,-0.0036867,-2.6523,-2.6338,-4.7964,-1.2417,
12.6,-0.0025477,-2.6507,-2.6379,-4.9111,-1.2742,
12.8,-0.0014243,-2.649,-2.6419,-5.0264,-1.3065,
13,-0.00031627,-2.6473,-2.6457,-5.1423,-1.3387,
