"t","u","wt1","wt2","wt3","r","y","em_x","em_y",
0,-0.7854,0.94752,-0.011557,10.346,1.7582,2.6401,0,0,
0.2,-0.7854,0.94752,-0.011557,10.346,1.7603,2.6401,0.017006,0.021973,
0.4,-0.78153,0.94752,-0.011557,10.346,1.7622,2.6401,0.031384,0.045387,
0.6,-0.7705,0.94752,-0.011557,10.346,1.7638,2.6399,0.043139,0.07024,
0.8,-0.75849,0.94752,-0.011557,10.346,1.7652,2.6394,0.052281,0.09653,
1,-0.74549,0.94752,-0.011557,10.346,1.7663,2.6386,0.058826,0.12425,
1.2,-0.73146,0.94752,-0.011557,10.346,1.7673,2.6374,0.062794,0.15341,
1.4,-0.71643,0.94752,-0.011557,10.346,1.768,2.6357,0.064211,0.18401,
1.6,-0.70045,0.94752,-0.011557,10.346,1.7685,2.6335,0.063109,0.21605,
1.8,-0.68359,0.94752,-0.011557,10.346,1.7687,2.6306,0.059526,0.24954,
2,-0.66593,0.94752,-0.011557,10.346,1.7688,2.6271,0.053505,0.2845,
2.2,-0.6527,0.94752,-0.011557,10.346,1.7686,2.623,0.045097,0.32093,
2.4,-0.64337,0.94752,-0.011557,10.346,1.7683,2.6182,0.034356,0.35886,
2.6,-0.63292,0.94752,-0.011557,10.346,1.7678,2.6126,0.021345,0.39831,
2.8,-0.62157,0.94752,-0.011557,10.346,1.767,2.6063,0.0061325,0.4393,
3,-0.60959,0.94752,-0.011557,10.346,1.7661,2.5992,-0.011209,0.48188,
3.2,-0.59708,0.94752,-0.011557,10.346,1.765,2.5913,-0.0306,0.52606,
3.4,-0.58417,0.94752,-0.011557,10.346,1.7638,2.5827,-0.051956,0.57189,
3.6,-0.57096,0.94752,-0.011557,10.346,1.7624,2.5734,-0.075189,0.6194,
3.8,-0.55757,0.94752,-0.011557,10.346,1.7609,2.5634,-0.10021,0.66863,
4,-0.5441,0.94752,-0.011557,10.346,1.7592,2.5528,-0.12692,0.71961,
4.2,-0.53062,0.94752,-0.011557,10.346,1.7574,2.5416,-0.15522,0.77237,
4.4,-0.51723,0.94752,-0.011557,10.346,1.7555,2.53,-0.18501,0.82695,
4.6,-0.50399,0.94752,-0.011557,10.346,1.7535,2.5178,-0.2162,0.88338,
4.8,-0.49096,0.94752,-0.011557,10.346,1.7514,2.5053,-0.24868,0.94167,
5,-0.47816,0.94752,-0.011557,10.346,1.7492,2.4924,-0.28235,1.0019,
5.2,-0.46565,0.94752,-0.011557,10.346,1.7469,2.4793,-0.31711,1.0639,
5.4,-0.45345,0.94752,-0.011557,10.346,1.7446,2.4659,-0.35286,1.128,
5.6,-0.44156,0.94752,-0.011557,10.346,1.7422,2.4523,-0.38951,1.1939,
5.8,-0.43001,0.94752,-0.011557,10.346,1.7398,2.4387,-0.42696,1.2617,
6,-0.41881,0.94752,-0.011557,10.346,1.7374,2.4249,-0.46511,1.3315,
6.2,-0.40794,0.94752,-0.011557,10.346,1.7349,2.4111,-0.50388,1.4032,
