"t","u","wt1","wt2","wt3","r","y","em_x","em_y",
0,0.7854,1.6842,0.070617,-0.99329,-2.3138,1.327,0,0,
0.2,0.7854,1.6842,0.070617,-0.99329,-2.3149,1.327,0.009147,-0.0069824,
0.4,0.7854,1.6842,0.070617,-0.99329,-2.3159,1.327,0.019017,-0.011056,
0.6,0.7854,1.6842,0.070617,-0.99329,-2.3168,1.3273,0.029609,-0.012226,
0.8,0.7854,1.6842,0.070617,-0.99329,-2.3175,1.3277,0.040917,-0.010501,
1,0.7854,1.6842,0.070617,-0.99329,-2.3181,1.3285,0.052931,-0.005895,
1.2,0.7854,1.6842,0.070617,-0.99329,-2.3185,1.3298,0.065638,0.0015787,
1.4,0.7854,1.6842,0.070617,-0.99329,-2.3188,1.3316,0.079017,0.011902,
1.6,0.7854,1.6842,0.070617,-0.99329,-2.3189,1.334,0.093041,0.025056,
1.8,0.7854,1.6842,0.070617,-0.99329,-2.3189,1.3371,0.10767,0.041019,
2,0.7854,1.6842,0.070617,-0.99329,-2.3188,1.3411,0.12288,0.059768,
2.2,0.7854,1.6842,0.070617,-0.99329,-2.3185,1.3459,0.13859,0.081279,
2.4,0.7854,1.6842,0.070617,-0.99329,-2.318,1.3516,0.15476,0.10552,
2.6,0.7854,1.6842,0.070617,-0.99329,-2.3174,1.3584,0.1713,0.13248,
2.8,0.7854,1.6842,0.070617,-0.99329,-2.3167,1.3663,0.18814,0.16211,
3,0.7854,1.6842,0.070617,-0.99329,-2.3157,1.3753,0.20518,0.1944,
3.2,0.7854,1.6842,0.070617,-0.99329,-2.3146,1.3855,0.22232,0.2293,
3.4,0.7854,1.6842,0.070617,-0.99329,-2.3134,1.397,0.23944,0.26678,
3.6,0.7854,1.6842,0.070617,-0.99329,-2.3119,1.4098,0.25642,0.30681,
3.8,0.7854,1.6842,0.070617,-0.99329,-2.3103,1.424,0.27311,0.34935,
4,0.7854,1.6842,0.070617,-0.99329,-2.3084,1.4395,0.28938,0.39435,
4.2,0.7854,1.6842,0.070617,-0.99329,-2.3064,1.4564,0.30506,0.44176,
4.4,0.7854,1.6842,0.070617,-0.99329,-2.3041,1.4748,0.32,0.49153,
4.6,0.7854,1.6842,0.070617,-0.99329,-2.3016,1.4946,0.33401,0.5436,
4.8,0.7854,1.6842,0.070617,-0.99329,-2.2989,1.5159,0.34692,0.5979,
5,0.7854,1.6842,0.070617,-0.99329,-2.2959,1.5386,0.35854,0.65435,
5.2,0.7854,1.6842,0.070617,-0.99329,-2.2927,1.5629,0.36867,0.71287,
5.4,0.7854,1.6842,0.070617,-0.99329,-2.2892,1.5886,0.37712,0.77336,
5.6,0.7854,1.6842,0.070617,-0.99329,-2.2855,1.6158,0.38369,0.83572,
5.8,0.7854,1.6842,0.070617,-0.99329,-2.2815,1.6445,0.38817,0.89983,
6,0.7854,1.6842,0.070617,-0.99329,-2.2772,1.6746,0.39036,0.96556,
6.2,0.7854,1.6842,0.070617,-0.99329,-2.2726,1.7062,0.39006,1.0328,
6.4,0.7854,1.6842,0.070617,-0.99329,-2.2678,1.7392,0.38707,1.1013,
6.6,0.7854,1.6842,0.070617,-0.99329,-2.2626,1.7737,0.38119,1.1709,
6.8,0.7854,1.6842,0.070617,-0.99329,-2.2572,1.8095,0.37224,1.2415,
7,0.7854,1.6842,0.070617,-0.99329,-2.2514,1.8467,0.36004,1.3129,
7.2,0.7854,1.6842,0.070617,-0.99329,-2.2454,1.8853,0.3444,1.3847,
7.4,0.7854,1.6842,0.070617,-0.99329,-2.2391,1.9252,0.32518,1.4569,
7.6,0.7854,1.6842,0.070617,-0.99329,-2.2325,1.9664,0.30223,1.5291,
7.8,0.7854,1.6842,0.070617,-0.99329,-2.2256,2.0089,0.27541,1.6011,
8,0.7854,1.6842,0.070617,-0.99329,-2.2185,2.0525,0.24462,1.6725,
8.2,0.7854,1.6842,0.070617,-0.99329,-2.2111,2.0974,0.20975,1.7432,
8.4,0.7854,1.6842,0.070617,-0.99329,-2.2035,2.1435,0.17074,1.8128,
8.6,0.7854,1.6842,0.070617,-0.99329,-2.1957,2.1907,0.12753,1.881,
8.8,0.7854,1.6842,0.070617,-0.99329,-2.1876,2.239,0.080091,1.9475,
9,0.7854,1.6842,0.070617,-0.99329,-2.1794,2.2883,0.028424,2.0118,
9.2,0.7854,1.6842,0.070617,-0.99329,-2.171,2.3387,-0.027451,2.0738,
9.4,0.7854,1.6842,0.070617,-0.99329,-2.1625,2.3902,-0.087484,2.1331,
9.6,0.7854,1.6842,0.070617,-0.99329,-2.1538,2.4425,-0.1516,2.1893,
9.8,0.7854,1.6842,0.070617,-0.99329,-2.1451,2.4958,-0.21968,2.242,
10,0.7854,1.6842,0.070617,-0.99329,-2.1364,2.5501,-0.2916,2.2911,
10.2,0.7854,1.6842,0.070617,-0.99329,-2.1276,2.6052,-0.3672,2.336,
10.4,0.7854,1.6842,0.070617,-0.99329,-2.1189,2.6611,-0.44627,2.3765,
10.6,0.7854,1.6842,0.070617,-0.99329,-2.1103,2.7179,-0.5286,2.4123,
10.8,0.7854,1.6842,0.070617,-0.99329,-2.1017,2.7754,-0.61392,2.4431,
11,0.7854,1.6842,0.070617,-0.99329,-2.0933,2.8337,-0.70197,2.4686,
11.2,0.7854,1.6842,0.070617,-0.99329,-2.0851,2.8927,-0.79243,2.4886,
11.4,0.7854,1.6842,0.070617,-0.99329,-2.0771,2.9523,-0.88498,2.5027,
11.6,0.7854,1.6842,0.070617,-0.99329,-2.0694,3.0127,-0.97925,2.5108,
11.8,0.7854,1.6842,0.070617,-0.99329,-2.062,3.0737,-1.0749,2.5127,
12,0.7854,1.6842,0.070617,-0.99329,-2.055,3.1353,-1.1714,2.5082,
12.2,0.7854,1.6842,0.070617,-0.99329,-2.0483,-3.0857,-1.2685,2.4971,
12.4,0.7854,1.6842,0.070617,-0.99329,-2.0421,-3.023,-1.3657,2.4794,
12.6,0.7854,1.6842,0.070617,-0.99329,-2.0365,-2.9597,-1.4625,2.455,
12.8,0.7854,1.6842,0.070617,-0.99329,-2.0313,-2.8959,-1.5585,2.4238,
13,0.7854,1.6842,0.070617,-0.99329,-2.0267,-2.8316,-1.6532,2.3858,
13.2,0.7854,1.6842,0.070617,-0.99329,-2.0227,-2.7668,-1.7462,2.3411,
13.4,0.7854,1.6842,0.070617,-0.99329,-2.0194,-2.7016,-1.8369,2.2897,
13.6,0.7854,1.6842,0.070617,-0.99329,-2.0167,-2.636,-1.9249,2.2318,
