"t","u","wt1","wt2","wt3","r","y","em_x","em_y",
0,-0.7854,2.0582,0.087172,-1.6703,-0.84296,1.1677,0,0,
0.2,-0.7854,2.0582,0.087172,-1.6703,-0.84517,1.1677,0.0085385,0.023643,
0.4,-0.7854,2.0582,0.087172,-1.6703,-0.84765,1.1676,0.018253,0.050044,
0.6,-0.7854,2.0582,0.087172,-1.6703,-0.8504,1.1674,0.029142,0.079196,
0.8,-0.7854,2.0582,0.087172,-1.6703,-0.85342,1.1669,0.041204,0.11109,
1,-0.7854,2.0582,0.087172,-1.6703,-0.85672,1.1661,0.05444,0.14571,
1.2,-0.7854,2.0582,0.087172,-1.6703,-0.86027,1.1649,0.068851,0.18303,
1.4,-0.7854,2.0582,0.087172,-1.6703,-0.8641,1.1631,0.084444,0.22304,
1.6,-0.7854,2.0582,0.087172,-1.6703,-0.86819,1.1607,0.10123,0.26569,
1.8,-0.7854,2.0582,0.087172,-1.6703,-0.87255,1.1575,0.11922,0.31095,
2,-0.7854,2.0582,0.087172,-1.6703,-0.87717,1.1536,0.13843,0.35877,
2.2,-0.7854,2.0582,0.087172,-1.6703,-0.88205,1.1488,0.15891,0.40911,
2.4,-0.7854,2.0582,0.087172,-1.6703,-0.88719,1.143,0.18067,0.4619,
2.6,-0.7854,2.0582,0.087172,-1.6703,-0.89259,1.1363,0.20376,0.51708,
2.8,-0.7854,2.0582,0.087172,-1.6703,-0.89825,1.1284,0.22823,0.57458,
3,-0.7854,2.0582,0.087172,-1.6703,-0.90417,1.1194,0.25413,0.63431,
3.2,-0.7854,2.0582,0.087172,-1.6703,-0.91034,1.1091,0.28154,0.69619,
3.4,-0.7854,2.0582,0.087172,-1.6703,-0.91678,1.0976,0.31052,0.76013,
3.6,-0.7854,2.0582,0.087172,-1.6703,-0.92346,1.0848,0.34115,0.826,
3.8,-0.7854,2.0582,0.087172,-1.6703,-0.93041,1.0707,0.37351,0.89371,
4,-0.7854,2.0582,0.087172,-1.6703,-0.93761,1.0552,0.4077,0.96312,
4.2,-0.7854,2.0582,0.087172,-1.6703,-0.94506,1.0383,0.4438,1.0341,
4.4,-0.7854,2.0582,0.087172,-1.6703,-0.95277,1.0199,0.48193,1.1065,
4.6,-0.7854,2.0582,0.087172,-1.6703,-0.96073,1.0001,0.52218,1.1802,
4.8,-0.7854,2.0582,0.087172,-1.6703,-0.96894,0.9788,0.56465,1.255,
5,-0.7854,2.0582,0.087172,-1.6703,-0.9774,0.95605,0.60945,1.3308,
5.2,-0.7854,2.0582,0.087172,-1.6703,-0.98609,0.93181,0.65669,1.4073,
5.4,-0.7854,2.0582,0.087172,-1.6703,-0.99503,0.90609,0.70645,1.4843,
5.6,-0.7854,2.0582,0.087172,-1.6703,-1.0042,0.87889,0.75884,1.5618,
5.8,-0.7854,2.0582,0.087172,-1.6703,-1.0136,0.85021,0.81395,1.6393,
6,-0.7854,2.0582,0.087172,-1.6703,-1.0232,0.82007,0.87187,1.7168,
6.2,-0.7854,2.0582,0.087172,-1.6703,-1.0331,0.78847,0.93265,1.7939,
6.4,-0.7854,2.0582,0.087172,-1.6703,-1.0431,0.75544,0.99638,1.8705,
6.6,-0.7854,2.0582,0.087172,-1.6703,-1.0534,0.72099,1.0631,1.9462,
6.8,-0.7854,2.0582,0.087172,-1.6703,-1.0638,0.68514,1.1328,2.0209,
7,-0.7854,2.0582,0.087172,-1.6703,-1.0743,0.64792,1.2056,2.0941,
7.2,-0.7854,2.0582,0.087172,-1.6703,-1.0851,0.60935,1.2815,2.1658,
7.4,-0.7854,2.0582,0.087172,-1.6703,-1.0959,0.56945,1.3603,2.2355,
7.6,-0.7854,2.0582,0.087172,-1.6703,-1.1069,0.52826,1.4422,2.3029,
7.8,-0.7854,2.0582,0.087172,-1.6703,-1.1179,0.48581,1.527,2.3679,
8,-0.7854,2.0582,0.087172,-1.6703,-1.1291,0.44213,1.6147,2.4301,
8.2,-0.7854,2.0582,0.087172,-1.6703,-1.1402,0.39724,1.7052,2.4892,
8.4,-0.7854,2.0582,0.087172,-1.6703,-1.1514,0.35119,1.7983,2.5449,
8.6,-0.7854,2.0582,0.087172,-1.6703,-1.1625,0.30399,1.894,2.597,
8.8,-0.7854,2.0582,0.087172,-1.6703,-1.1736,0.25569,1.9919,2.6451,
9,-0.7854,2.0582,0.087172,-1.6703,-1.1846,0.20633,2.092,2.689,
9.2,-0.7854,2.0582,0.087172,-1.6703,-1.1955,0.15592,2.194,2.7285,
9.4,-0.7854,2.0582,0.087172,-1.6703,-1.2063,0.10451,2.2977,2.7633,
9.6,-0.7854,2.0582,0.087172,-1.6703,-1.2168,0.052133,2.4027,2.7932,
9.8,-0.7854,2.0582,0.087172,-1.6703,-1.2271,-0.0011846,2.5089,2.818,
10,-0.7854,2.0582,0.087172,-1.6703,-1.2372,-0.055407,2.6159,2.8375,
10.2,-0.7854,2.0582,0.087172,-1.6703,-1.2469,-0.1105,2.7233,2.8515,
10.4,-0.7854,2.0582,0.087172,-1.6703,-1.2562,-0.16644,2.8309,2.8598,
10.6,-0.7854,2.0582,0.087172,-1.6703,-1.2652,-0.22319,2.9382,2.8625,
10.8,-0.7854,2.0582,0.087172,-1.6703,-1.2737,-0.28071,3.0449,2.8593,
11,-0.7854,2.0582,0.087172,-1.6703,-1.2818,-0.33899,3.1506,2.8503,
11.2,-0.7854,2.0582,0.087172,-1.6703,-1.2893,-0.39799,3.2548,2.8354,
11.4,-0.7854,2.0582,0.087172,-1.6703,-1.2962,-0.45768,3.3572,2.8146,
11.6,-0.7854,2.0582,0.087172,-1.6703,-1.3026,-0.51803,3.4574,2.7879,
11.8,-0.7854,2.0582,0.087172,-1.6703,-1.3083,-0.57902,3.5549,2.7555,
12,-0.7854,2.0582,0.087172,-1.6703,-1.3133,-0.64063,3.6492,2.7174,
12.2,-0.7854,2.0582,0.087172,-1.6703,-1.3177,-0.70281,3.7401,2.6738,
12.4,-0.7854,2.0582,0.087172,-1.6703,-1.3213,-0.76556,3.827,2.6248,
12.6,-0.7854,2.0582,0.087172,-1.6703,-1.3242,-0.82885,3.9096,2.5706,
12.8,-0.7854,2.0582,0.087172,-1.6703,-1.3264,-0.89265,3.9874,2.5116,
13,-0.7854,2.0582,0.087172,-1.6703,-1.3277,-0.95695,4.0602,2.4479,
13.2,-0.7854,2.0582,0.087172,-1.6703,-1.3283,-1.0217,4.1275,2.3799,
13.4,-0.7854,2.0582,0.087172,-1.6703,-1.328,-1.0869,4.1889,2.3079,
13.6,-0.7854,2.0582,0.087172,-1.6703,-1.327,-1.1526,4.2443,2.2323,
13.8,-0.7854,2.0582,0.087172,-1.6703,-1.3252,-1.2186,4.2932,2.1535,
