"t","u","wt1","wt2","wt3","r","y","em_x","em_y",
0,0.7854,1.1662,0.041321,-0.074733,-1.0034,3.8262,0,0,
0.2,0.7854,1.1662,0.041321,-0.074733,-1.0046,-2.4569,0.030434,-0.025417,
0.4,0.7854,1.1662,0.041321,-0.074733,-1.0055,-2.4569,0.058547,-0.052729,
0.6,0.7854,1.1662,0.041321,-0.074733,-1.0061,-2.4566,0.084342,-0.081935,
0.8,0.7854,1.1662,0.041321,-0.074733,-1.0064,-2.4562,0.10783,-0.11303,
1,0.7854,1.1662,0.041321,-0.074733,-1.0064,-2.4554,0.12903,-0.14601,
1.2,0.7854,1.1662,0.041321,-0.074733,-1.0062,-2.4541,0.14795,-0.18087,
1.4,0.7854,1.1662,0.041321,-0.074733,-1.0056,-2.4523,0.16463,-0.21761,
1.6,0.7854,1.1662,0.041321,-0.074733,-1.0047,-2.4499,0.1791,-0.25622,
1.8,0.7854,1.1662,0.041321,-0.074733,-1.0036,-2.4468,0.19139,-0.29673,
2,0.7854,1.1662,0.041321,-0.074733,-1.0022,-2.4428,0.20157,-0.33912,
2.2,0.7854,1.1662,0.041321,-0.074733,-1.0005,-2.438,0.20967,-0.38342,
2.4,0.7854,1.1662,0.041321,-0.074733,-0.99852,-2.4323,0.21578,-0.42964,
2.6,0.7854,1.1662,0.041321,-0.074733,-0.99628,-2.4255,0.21996,-0.47779,
2.8,0.7854,1.1662,0.041321,-0.074733,-0.99378,-2.4176,0.2223,-0.52792,
3,0.7854,1.1662,0.041321,-0.074733,-0.99103,-2.4086,0.22289,-0.58005,
3.2,0.7854,1.1662,0.041321,-0.074733,-0.98803,-2.3984,0.22184,-0.63422,
3.4,0.7854,1.1662,0.041321,-0.074733,-0.98479,-2.3869,0.21925,-0.69046,
3.6,0.7854,1.1662,0.041321,-0.074733,-0.98132,-2.3741,0.21525,-0.74883,
3.8,0.7854,1.1662,0.041321,-0.074733,-0.97762,-2.3599,0.20998,-0.80938,
4,0.7854,1.1662,0.041321,-0.074733,-0.9737,-2.3444,0.20357,-0.87215,
4.2,0.7854,1.1662,0.041321,-0.074733,-0.96958,-2.3275,0.19619,-0.93721,
4.4,0.7854,1.1662,0.041321,-0.074733,-0.96526,-2.3091,0.18799,-1.0046,
4.6,0.7854,1.1662,0.041321,-0.074733,-0.96076,-2.2893,0.17915,-1.0744,
4.8,0.7854,1.1662,0.041321,-0.074733,-0.95609,-2.268,0.16987,-1.1466,
5,0.7854,1.1662,0.041321,-0.074733,-0.95127,-2.2453,0.16032,-1.2213,
5.2,0.7854,1.1662,0.041321,-0.074733,-0.9463,-2.221,0.15073,-1.2986,
5.4,0.7854,1.1662,0.041321,-0.074733,-0.9412,-2.1953,0.1413,-1.3785,
5.6,0.7854,1.1662,0.041321,-0.074733,-0.936,-2.1681,0.13226,-1.461,
5.8,0.7854,1.1662,0.041321,-0.074733,-0.9307,-2.1394,0.12384,-1.5461,
6,0.7854,1.1662,0.041321,-0.074733,-0.92533,-2.1093,0.11629,-1.6339,
6.2,0.7854,1.1662,0.041321,-0.074733,-0.9199,-2.0777,0.10985,-1.7244,
6.4,0.7854,1.1662,0.041321,-0.074733,-0.91445,-2.0447,0.10478,-1.8175,
6.6,0.7854,1.1662,0.041321,-0.074733,-0.90899,-2.0102,0.10134,-1.9133,
6.8,0.7854,1.1662,0.041321,-0.074733,-0.90355,-1.9744,0.099792,-2.0117,
7,0.7854,1.1662,0.041321,-0.074733,-0.89815,-1.9372,0.1004,-2.1126,
7.2,0.7854,1.1662,0.041321,-0.074733,-0.89281,-1.8986,0.10344,-2.216,
7.4,0.7854,1.1662,0.041321,-0.074733,-0.88758,-1.8587,0.10918,-2.3218,
7.6,0.7854,1.1662,0.041321,-0.074733,-0.88247,-1.8175,0.11788,-2.4298,
7.8,0.7854,1.1662,0.041321,-0.074733,-0.87752,-1.7751,0.12981,-2.54,
8,0.7854,1.1662,0.041321,-0.074733,-0.87275,-1.7314,0.14523,-2.6522,
8.2,0.7854,1.1662,0.041321,-0.074733,-0.8682,-1.6865,0.16438,-2.7662,
8.4,0.7854,1.1662,0.041321,-0.074733,-0.8639,-1.6404,0.1875,-2.8817,
8.6,0.7854,1.1662,0.041321,-0.074733,-0.85988,-1.5932,0.21483,-2.9987,
8.8,0.7854,1.1662,0.041321,-0.074733,-0.85617,-1.5449,0.24659,-3.1168,
9,0.7854,1.1662,0.041321,-0.074733,-0.8528,-1.4956,0.28296,-3.2358,
9.2,0.7854,1.1662,0.041321,-0.074733,-0.84981,-1.4452,0.32414,-3.3554,
9.4,0.7854,1.1662,0.041321,-0.074733,-0.84723,-1.3937,0.37029,-3.4753,
9.6,0.7854,1.1662,0.041321,-0.074733,-0.84508,-1.3414,0.42154,-3.5952,
9.8,0.7854,1.1662,0.041321,-0.074733,-0.8434,-1.2881,0.47802,-3.7147,
10,0.7854,1.1662,0.041321,-0.074733,-0.84221,-1.2338,0.53982,-3.8335,
10.2,0.7854,1.1662,0.041321,-0.074733,-0.84154,-1.1787,0.60701,-3.9513,
10.4,0.74553,1.1662,0.041321,-0.074733,-0.84141,-1.1228,0.67962,-4.0676,
10.6,0.6805,1.1662,0.041321,-0.074733,-0.84184,-1.0675,0.75761,-4.1821,
10.8,0.61814,1.1662,0.041321,-0.074733,-0.84282,-1.0151,0.84074,-4.2946,
11,0.56032,1.1662,0.041321,-0.074733,-0.84432,-0.9673,0.92857,-4.4049,
11.2,0.50781,1.1662,0.041321,-0.074733,-0.84629,-0.92454,1.0206,-4.513,
11.4,0.46078,1.1662,0.041321,-0.074733,-0.84868,-0.8869,1.1163,-4.6192,
11.6,0.419,1.1662,0.041321,-0.074733,-0.85145,-0.85413,1.2152,-4.7234,
11.8,0.38083,1.1662,0.041321,-0.074733,-0.85455,-0.82579,1.3168,-4.826,
12,0.34586,1.1662,0.041321,-0.074733,-0.85793,-0.80141,1.4209,-4.9271,
12.2,0.31376,1.1662,0.041321,-0.074733,-0.86155,-0.78059,1.527,-5.0268,
12.4,0.28425,1.1662,0.041321,-0.074733,-0.86538,-0.76293,1.6348,-5.1255,
12.6,0.257,1.1662,0.041321,-0.074733,-0.86939,-0.74804,1.7442,-5.2232,
12.8,0.23173,1.1662,0.041321,-0.074733,-0.87355,-0.73557,1.8549,-5.3201,
13,0.20818,1.1662,0.041321,-0.074733,-0.87784,-0.7252,1.9667,-5.4164,
13.2,0.18611,1.1662,0.041321,-0.074733,-0.88224,-0.71665,2.0794,-5.5121,
13.4,0.16532,1.1662,0.041321,-0.074733,-0.88672,-0.70967,2.193,-5.6075,
13.6,0.14562,1.1662,0.041321,-0.074733,-0.89128,-0.70406,2.3073,-5.7026,
13.8,0.12684,1.1662,0.041321,-0.074733,-0.8959,-0.6996,2.4222,-5.7975,
14,0.10885,1.1662,0.041321,-0.074733,-0.90057,-0.69614,2.5377,-5.8922,
14.2,0.091496,1.1662,0.041321,-0.074733,-0.90527,-0.69352,2.6535,-5.9869,
14.4,0.074665,1.1662,0.041321,-0.074733,-0.91001,-0.69161,2.7698,-6.0816,
14.6,0.058244,1.1662,0.041321,-0.074733,-0.91477,-0.69027,2.8863,-6.1763,
14.8,0.042121,1.1662,0.041321,-0.074733,-0.91954,-0.68941,3.0032,-6.2711,
15,0.026193,1.1662,0.041321,-0.074733,-0.92433,-0.6889,3.1202,-6.366,
15.2,0.010356,1.1662,0.041321,-0.074733,-0.92913,-0.68866,3.2375,-6.461,
15.4,-0.0054976,1.1662,0.041321,-0.074733,-0.93394,-0.68857,3.355,-6.5562,
15.6,-0.021467,1.1662,0.041321,-0.074733,-0.93875,-0.68856,3.4726,-6.6514,
15.8,-0.037563,1.1662,0.041321,-0.074733,-0.94356,-0.68861,3.5904,-6.7468,
16,-0.053696,1.1662,0.041321,-0.074733,-0.94838,-0.6888,3.7083,-6.8424,
16.2,-0.069739,1.1662,0.041321,-0.074733,-0.9532,-0.68923,3.8264,-6.9381,
16.4,-0.085558,1.1662,0.041321,-0.074733,-0.95802,-0.69,3.9445,-7.0339,
16.6,-0.10101,1.1662,0.041321,-0.074733,-0.96283,-0.69121,4.0627,-7.1299,
16.8,-0.11597,1.1662,0.041321,-0.074733,-0.96763,-0.69295,4.1809,-7.2262,
17,-0.13032,1.1662,0.041321,-0.074733,-0.97241,-0.6953,4.2991,-7.3227,
17.2,-0.14393,1.1662,0.041321,-0.074733,-0.97717,-0.69831,4.4172,-7.4195,
17.4,-0.15671,1.1662,0.041321,-0.074733,-0.98189,-0.70203,4.5352,-7.5168,
17.6,-0.16859,1.1662,0.041321,-0.074733,-0.98657,-0.7065,4.6529,-7.6144,
17.8,-0.17952,1.1662,0.041321,-0.074733,-0.99121,-0.71172,4.7704,-7.7126,
18,-0.18944,1.1662,0.041321,-0.074733,-0.99578,-0.71769,4.8876,-7.8113,
18.2,-0.19836,1.1662,0.041321,-0.074733,-1.0003,-0.72438,5.0043,-7.9106,
18.4,-0.20625,1.1662,0.041321,-0.074733,-1.0047,-0.73177,5.1207,-8.0106,
18.6,-0.21315,1.1662,0.041321,-0.074733,-1.0091,-0.7398,5.2365,-8.1113,
18.8,-0.21907,1.1662,0.041321,-0.074733,-1.0133,-0.74842,5.3517,-8.2128,
19,-0.22405,1.1662,0.041321,-0.074733,-1.0175,-0.75756,5.4663,-8.315,
