"t","u","wt1","wt2","wt3","r","y","em_x","em_y",
0,0.66932,1.6848,0.07041,-0.99614,1.0382,0.15638,0,0,
0.2,0.7854,1.6848,0.07041,-0.99614,1.0395,0.15638,-0.0047553,-0.034616,
0.4,0.7854,1.6848,0.07041,-0.99614,1.0411,0.15645,-0.0065495,-0.068764,
0.6,0.7854,1.6848,0.07041,-0.99614,1.0429,0.15666,-0.0053888,-0.10245,
0.8,0.7854,1.6848,0.07041,-0.99614,1.045,0.15713,-0.0012836,-0.13566,
1,0.7854,1.6848,0.07041,-0.99614,1.0472,0.15794,0.0057513,-0.1684,
1.2,0.7854,1.6848,0.07041,-0.99614,1.0497,0.15919,0.015697,-0.20066,
1.4,0.7854,1.6848,0.07041,-0.99614,1.0525,0.16099,0.028529,-0.23243,
1.6,0.7854,1.6848,0.07041,-0.99614,1.0554,0.1634,0.044219,-0.2637,
1.8,0.7854,1.6848,0.07041,-0.99614,1.0586,0.16653,0.062733,-0.29442,
2,0.7854,1.6848,0.07041,-0.99614,1.0619,0.17046,0.084035,-0.32459,
2.2,0.7854,1.6848,0.07041,-0.99614,1.0655,0.17527,0.10808,-0.35415,
2.4,0.7854,1.6848,0.07041,-0.99614,1.0693,0.18103,0.13482,-0.38307,
2.6,0.7854,1.6848,0.07041,-0.99614,1.0732,0.18782,0.1642,-0.41127,
2.8,0.7854,1.6848,0.07041,-0.99614,1.0774,0.19569,0.19617,-0.43871,
3,0.7854,1.6848,0.07041,-0.99614,1.0817,0.20472,0.23065,-0.4653,
3.2,0.7854,1.6848,0.07041,-0.99614,1.0862,0.21495,0.26758,-0.49095,
3.4,0.7854,1.6848,0.07041,-0.99614,1.0908,0.22644,0.30689,-0.51559,
3.6,0.7854,1.6848,0.07041,-0.99614,1.0956,0.23924,0.34848,-0.5391,
3.8,0.7854,1.6848,0.07041,-0.99614,1.1005,0.25338,0.39227,-0.56137,
4,0.7854,1.6848,0.07041,-0.99614,1.1056,0.2689,0.43817,-0.58229,
4.2,0.7854,1.6848,0.07041,-0.99614,1.1107,0.28582,0.48605,-0.60174,
4.4,0.7854,1.6848,0.07041,-0.99614,1.1159,0.30418,0.53582,-0.61957,
4.6,0.7854,1.6848,0.07041,-0.99614,1.1212,0.32399,0.58734,-0.63566,
4.8,0.7854,1.6848,0.07041,-0.99614,1.1265,0.34527,0.64049,-0.64987,
5,0.7854,1.6848,0.07041,-0.99614,1.1318,0.36803,0.69512,-0.66204,
5.2,0.7854,1.6848,0.07041,-0.99614,1.1372,0.39226,0.75108,-0.67205,
5.4,0.7854,1.6848,0.07041,-0.99614,1.1425,0.41798,0.8082,-0.67973,
5.6,0.7854,1.6848,0.07041,-0.99614,1.1478,0.44519,0.8663,-0.68496,
5.8,0.7854,1.6848,0.07041,-0.99614,1.1531,0.47386,0.9252,-0.68758,
6,0.7854,1.6848,0.07041,-0.99614,1.1582,0.50401,0.9847,-0.68746,
6.2,0.7854,1.6848,0.07041,-0.99614,1.1633,0.5356,1.0446,-0.68447,
6.4,0.7854,1.6848,0.07041,-0.99614,1.1682,0.56864,1.1046,-0.6785,
6.6,0.7854,1.6848,0.07041,-0.99614,1.1729,0.60309,1.1646,-0.66942,
6.8,0.7854,1.6848,0.07041,-0.99614,1.1775,0.63894,1.2242,-0.65714,
7,0.7854,1.6848,0.07041,-0.99614,1.1818,0.67616,1.2833,-0.64158,
7.2,0.7854,1.6848,0.07041,-0.99614,1.1859,0.71473,1.3415,-0.62265,
7.4,0.7854,1.6848,0.07041,-0.99614,1.1897,0.75462,1.3986,-0.6003,
7.6,0.7854,1.6848,0.07041,-0.99614,1.1933,0.79581,1.4543,-0.5745,
7.8,0.7854,1.6848,0.07041,-0.99614,1.1965,0.83826,1.5082,-0.54523,
8,0.7854,1.6848,0.07041,-0.99614,1.1993,0.88195,1.5602,-0.5125,
8.2,0.7854,1.6848,0.07041,-0.99614,1.2018,0.92683,1.6098,-0.47632,
8.4,0.7854,1.6848,0.07041,-0.99614,1.2039,0.97289,1.6568,-0.43675,
8.6,0.7854,1.6848,0.07041,-0.99614,1.2055,1.0201,1.7009,-0.39386,
8.8,0.7854,1.6848,0.07041,-0.99614,1.2067,1.0684,1.7417,-0.34775,
9,0.7854,1.6848,0.07041,-0.99614,1.2074,1.1177,1.779,-0.29855,
9.2,0.7854,1.6848,0.07041,-0.99614,1.2077,1.1682,1.8124,-0.24641,
9.4,0.73421,1.6848,0.07041,-0.99614,1.2074,1.2196,1.8417,-0.1915,
9.6,0.64283,1.6848,0.07041,-0.99614,1.2066,1.2702,1.8666,-0.13406,
9.8,0.55085,1.6848,0.07041,-0.99614,1.2053,1.3167,1.8873,-0.074383,
10,0.46393,1.6848,0.07041,-0.99614,1.2036,1.3565,1.904,-0.012847,
10.2,0.3859,1.6848,0.07041,-0.99614,1.2016,1.3886,1.9173,0.050212,
10.4,0.31825,1.6848,0.07041,-0.99614,1.1992,1.4132,1.928,0.11452,
10.6,0.26064,1.6848,0.07041,-0.99614,1.1966,1.4312,1.9368,0.17986,
10.8,0.21164,1.6848,0.07041,-0.99614,1.1938,1.4441,1.944,0.24609,
11,0.16944,1.6848,0.07041,-0.99614,1.1909,1.4531,1.9503,0.3131,
11.2,0.13237,1.6848,0.07041,-0.99614,1.1879,1.4591,1.9558,0.38081,
11.4,0.099047,1.6848,0.07041,-0.99614,1.1849,1.4629,1.9609,0.44917,
11.6,0.068412,1.6848,0.07041,-0.99614,1.1817,1.4653,1.9658,0.51812,
11.8,0.039651,1.6848,0.07041,-0.99614,1.1786,1.4666,1.9706,0.58761,
12,0.012122,1.6848,0.07041,-0.99614,1.1754,1.4671,1.9753,0.65763,
12.2,-0.014716,1.6848,0.07041,-0.99614,1.1722,1.4673,1.98,0.72814,
12.4,-0.04131,1.6848,0.07041,-0.99614,1.169,1.4673,1.9847,0.7991,
12.6,-0.067853,1.6848,0.07041,-0.99614,1.1657,1.4671,1.9895,0.87051,
12.8,-0.094138,1.6848,0.07041,-0.99614,1.1625,1.4665,1.9944,0.94233,
13,-0.11973,1.6848,0.07041,-0.99614,1.1592,1.4653,1.9994,1.0145,
13.2,-0.14416,1.6848,0.07041,-0.99614,1.156,1.4632,2.0047,1.0871,
13.4,-0.16695,1.6848,0.07041,-0.99614,1.1527,1.46,2.0103,1.16,
13.6,-0.18769,1.6848,0.07041,-0.99614,1.1495,1.4555,2.0163,1.2332,
13.8,-0.20608,1.6848,0.07041,-0.99614,1.1463,1.4498,2.0229,1.3067,
14,-0.22191,1.6848,0.07041,-0.99614,1.1432,1.4427,2.0302,1.3804,
14.2,-0.23507,1.6848,0.07041,-0.99614,1.1401,1.4344,2.0384,1.4543,
14.4,-0.24559,1.6848,0.07041,-0.99614,1.1372,1.4249,2.0477,1.5283,
14.6,-0.25358,1.6848,0.07041,-0.99614,1.1343,1.4144,2.058,1.6025,
14.8,-0.25923,1.6848,0.07041,-0.99614,1.1315,1.4031,2.0696,1.6767,
15,-0.26277,1.6848,0.07041,-0.99614,1.1288,1.3911,2.0825,1.7509,
15.2,-0.26445,1.6848,0.07041,-0.99614,1.1263,1.3786,2.0968,1.8252,
15.4,-0.26454,1.6848,0.07041,-0.99614,1.1239,1.3659,2.1125,1.8993,
15.6,-0.26329,1.6848,0.07041,-0.99614,1.1216,1.353,2.1296,1.9734,
15.8,-0.26095,1.6848,0.07041,-0.99614,1.1194,1.3402,2.1482,2.0474,
16,-0.25771,1.6848,0.07041,-0.99614,1.1174,1.3274,2.1682,2.1213,
16.2,-0.25376,1.6848,0.07041,-0.99614,1.1155,1.3149,2.1897,2.1949,
16.4,-0.24927,1.6848,0.07041,-0.99614,1.1137,1.3027,2.2125,2.2684,
16.6,-0.24436,1.6848,0.07041,-0.99614,1.112,1.2908,2.2366,2.3417,
16.8,-0.23913,1.6848,0.07041,-0.99614,1.1105,1.2792,2.2621,2.4148,
17,-0.23368,1.6848,0.07041,-0.99614,1.1091,1.2681,2.2889,2.4877,
17.2,-0.22809,1.6848,0.07041,-0.99614,1.1078,1.2575,2.3168,2.5603,
17.4,-0.2224,1.6848,0.07041,-0.99614,1.1067,1.2472,2.3459,2.6327,
17.6,-0.21666,1.6848,0.07041,-0.99614,1.1056,1.2375,2.3762,2.7048,
17.8,-0.21091,1.6848,0.07041,-0.99614,1.1047,1.2281,2.4075,2.7767,
18,-0.20518,1.6848,0.07041,-0.99614,1.1038,1.2193,2.4398,2.8484,
18.2,-0.19948,1.6848,0.07041,-0.99614,1.103,1.2108,2.473,2.9199,
18.4,-0.19384,1.6848,0.07041,-0.99614,1.1024,1.2028,2.5072,2.9911,
18.6,-0.18827,1.6848,0.07041,-0.99614,1.1018,1.1952,2.5422,3.0621,
18.8,-0.18277,1.6848,0.07041,-0.99614,1.1013,1.188,2.5781,3.1328,
19,-0.17735,1.6848,0.07041,-0.99614,1.1008,1.1812,2.6147,3.2034,
19.2,-0.17203,1.6848,0.07041,-0.99614,1.1005,1.1747,2.6521,3.2737,
19.4,-0.16679,1.6848,0.07041,-0.99614,1.1002,1.1686,2.6901,3.3439,
19.6,-0.16165,1.6848,0.07041,-0.99614,1.1,1.1629,2.7288,3.4138,
19.8,-0.1566,1.6848,0.070415,-0.99618,1.0998,1.1575,2.7681,3.4836,
20,-0.15165,1.6848,0.07042,-0.99617,1.0997,1.1524,2.808,3.5531,
20.2,-0.14679,1.6848,0.070426,-0.99617,1.0997,1.1476,2.8484,3.6226,
20.4,-0.14203,1.6848,0.070431,-0.99617,1.0997,1.1431,2.8894,3.6918,
20.6,-0.13736,1.6848,0.070437,-0.99616,1.0998,1.1389,2.9308,3.7609,
20.8,-0.13278,1.6848,0.070442,-0.99616,1.0999,1.135,2.9726,3.8299,
21,-0.12828,1.6849,0.070448,-0.99616,1.1,1.1313,3.0149,3.8987,
21.2,-0.12387,1.6849,0.070453,-0.99615,1.1002,1.1278,3.0576,3.9674,
21.4,-0.11954,1.6849,0.070458,-0.99615,1.1004,1.1245,3.1006,4.036,
21.6,-0.11529,1.6849,0.070464,-0.99615,1.1007,1.1215,3.144,4.1044,
21.8,-0.11112,1.6849,0.070469,-0.99614,1.101,1.1187,3.1877,4.1728,
22,-0.10703,1.6849,0.070475,-0.99614,1.1013,1.1161,3.2317,4.241,
22.2,-0.10301,1.685,0.07048,-0.99614,1.1017,1.1136,3.276,4.3092,
22.4,-0.099061,1.685,0.070485,-0.99613,1.102,1.1114,3.3205,4.3773,
22.6,-0.09518,1.685,0.07049,-0.99613,1.1024,1.1092,3.3653,4.4453,
22.8,-0.091364,1.685,0.070495,-0.99612,1.1029,1.1073,3.4103,4.5132,
23,-0.087611,1.685,0.070499,-0.99612,1.1033,1.1055,3.4555,4.581,
23.2,-0.083919,1.685,0.070503,-0.99611,1.1038,1.1039,3.501,4.6488,
23.4,-0.080285,1.685,0.070507,-0.9961,1.1043,1.1023,3.5465,4.7166,
23.6,-0.076706,1.685,0.070511,-0.99609,1.1048,1.1009,3.5923,4.7843,
23.8,-0.07318,1.685,0.070515,-0.99608,1.1053,1.0997,3.6382,4.8519,
24,-0.069705,1.685,0.070518,-0.99606,1.1058,1.0985,3.6842,4.9195,
24.2,-0.066278,1.685,0.070521,-0.99605,1.1064,1.0974,3.7303,4.987,
24.4,-0.062896,1.685,0.070524,-0.99603,1.1069,1.0965,3.7766,5.0546,
24.6,-0.059556,1.685,0.070527,-0.99601,1.1075,1.0956,3.823,5.1221,
24.8,-0.056257,1.685,0.07053,-0.99599,1.1081,1.0948,3.8694,5.1895,
25,-0.052996,1.685,0.070533,-0.99597,1.1087,1.0941,3.916,5.257,
25.2,-0.049768,1.685,0.070536,-0.99594,1.1093,1.0935,3.9626,5.3244,
