"t","u","r","y","em_x","em_y",
0,0.031487,1.2139,1.004,0,0,
0.2,0.0312,1.212,1.004,-0.016014,0.011816,
0.4,0.030922,1.2101,1.004,-0.030418,0.026161,
0.6,0.030654,1.2083,1.004,-0.043216,0.043029,
0.8,0.030394,1.2066,1.004,-0.054413,0.062413,
1,0.030143,1.2049,1.004,-0.064016,0.0843,
1.2,0.029901,1.2033,1.004,-0.072036,0.10868,
1.4,0.029666,1.2018,1.004,-0.078484,0.13552,
1.6,0.029439,1.2003,1.0041,-0.083374,0.16482,
1.8,0.029218,1.1989,1.0041,-0.086722,0.19654,
2,0.029004,1.1975,1.0042,-0.088546,0.23065,
2.2,0.028795,1.1962,1.0043,-0.088866,0.26714,
2.4,0.028591,1.195,1.0044,-0.087703,0.30596,
2.6,0.028392,1.1938,1.0045,-0.08508,0.34709,
2.8,0.028196,1.1926,1.0047,-0.081024,0.39048,
3,0.028003,1.1916,1.0049,-0.07556,0.4361,
3.2,0.027812,1.1905,1.0051,-0.068718,0.48391,
3.4,0.027622,1.1896,1.0054,-0.060526,0.53387,
3.6,0.027433,1.1886,1.0057,-0.051017,0.58593,
3.8,0.027244,1.1877,1.0061,-0.040222,0.64005,
4,0.027054,1.1869,1.0066,-0.028176,0.69619,
4.2,0.026862,1.1861,1.007,-0.014913,0.7543,
4.4,0.026667,1.1854,1.0076,-0.00046829,0.81434,
4.6,0.026469,1.1847,1.0082,0.015121,0.87625,
4.8,0.026268,1.184,1.0089,0.031818,0.93999,
5,0.026062,1.1834,1.0096,0.049586,1.0055,
5.2,0.025851,1.1828,1.0105,0.068384,1.0728,
5.4,0.025634,1.1822,1.0114,0.088176,1.1418,
5.6,0.025411,1.1817,1.0123,0.10892,1.2124,
5.8,0.025181,1.1812,1.0134,0.13058,1.2846,
6,0.024943,1.1808,1.0145,0.15312,1.3583,
6.2,0.024698,1.1803,1.0157,0.17649,1.4336,
6.4,0.024444,1.1799,1.0169,0.20066,1.5103,
6.6,0.024183,1.1795,1.0183,0.22558,1.5885,
6.8,0.023912,1.1791,1.0197,0.25123,1.668,
7,0.023632,1.1788,1.0212,0.27755,1.7489,
7.2,0.023343,1.1784,1.0228,0.30452,1.8311,
7.4,0.023044,1.1781,1.0245,0.3321,1.9145,
7.6,0.022736,1.1778,1.0262,0.36024,1.9991,
7.8,0.022418,1.1775,1.028,0.38892,2.0849,
8,0.022091,1.1772,1.0299,0.4181,2.1719,
8.2,0.021754,1.1769,1.0318,0.44774,2.26,
8.4,0.021408,1.1766,1.0338,0.47781,2.3491,
8.6,0.021052,1.1763,1.0359,0.50827,2.4393,
8.8,0.020688,1.176,1.0381,0.53911,2.5304,
9,0.020314,1.1757,1.0402,0.57028,2.6226,
9.2,0.019932,1.1754,1.0425,0.60175,2.7157,
9.4,0.019542,1.1751,1.0448,0.6335,2.8097,
9.6,0.019143,1.1747,1.0471,0.6655,2.9045,
9.8,0.018737,1.1744,1.0495,0.69772,3.0002,
10,0.018324,1.1741,1.0519,0.73014,3.0968,
10.2,0.017904,1.1737,1.0544,0.76273,3.1941,
10.4,0.017478,1.1734,1.0569,0.79548,3.2922,
10.6,0.017045,1.173,1.0594,0.82835,3.391,
10.8,0.016608,1.1726,1.0619,0.86133,3.4906,
11,0.016165,1.1722,1.0645,0.89439,3.5908,
11.2,0.015718,1.1718,1.067,0.92753,3.6917,
11.4,0.015266,1.1714,1.0696,0.96071,3.7932,
11.6,0.014812,1.1709,1.0722,0.99393,3.8954,
11.8,0.014354,1.1704,1.0747,1.0272,3.9982,
12,0.013894,1.1699,1.0773,1.0604,4.1015,
12.2,0.013432,1.1694,1.0799,1.0937,4.2054,
12.4,0.012968,1.1689,1.0824,1.1269,4.3098,
12.6,0.012503,1.1683,1.085,1.1601,4.4148,
12.8,0.012038,1.1677,1.0875,1.1932,4.5202,
13,0.011572,1.1671,1.09,1.2263,4.6262,
