"t","u","r","y","em_x","em_y",
0,0.1536,0.59409,-0.42988,0,0,
0.2,0.15341,0.59288,-0.42988,-0.033664,-0.0080923,
0.4,0.15327,0.59192,-0.42987,-0.064604,-0.017434,
0.6,0.15316,0.59122,-0.42983,-0.092824,-0.028022,
0.8,0.15308,0.59077,-0.42974,-0.11833,-0.039852,
1,0.15302,0.59057,-0.42955,-0.14114,-0.052917,
1.2,0.15298,0.59063,-0.4292,-0.16127,-0.067207,
1.4,0.15294,0.59094,-0.42864,-0.17873,-0.082708,
1.6,0.15289,0.59149,-0.42778,-0.19355,-0.099401,
1.8,0.15283,0.59229,-0.42655,-0.20574,-0.11726,
2,0.15273,0.59333,-0.42486,-0.21533,-0.13627,
2.2,0.15258,0.5946,-0.4226,-0.22234,-0.15637,
2.4,0.15237,0.59611,-0.41967,-0.22679,-0.17754,
2.6,0.15207,0.59784,-0.41597,-0.2287,-0.19971,
2.8,0.15168,0.59979,-0.41139,-0.22809,-0.22282,
3,0.15116,0.60195,-0.4058,-0.22499,-0.2468,
3.2,0.15051,0.60431,-0.39909,-0.21941,-0.27156,
3.4,0.1497,0.60687,-0.39115,-0.21136,-0.297,
3.6,0.14872,0.60961,-0.38187,-0.20086,-0.323,
3.8,0.14755,0.61253,-0.37114,-0.18792,-0.34943,
4,0.14617,0.6156,-0.35887,-0.17255,-0.37617,
4.2,0.14457,0.61883,-0.34496,-0.15475,-0.40304,
4.4,0.14273,0.62218,-0.32934,-0.13454,-0.42987,
4.6,0.14064,0.62566,-0.31195,-0.11194,-0.45648,
4.8,0.13829,0.62923,-0.29272,-0.086948,-0.48268,
5,0.13568,0.63288,-0.27164,-0.059595,-0.50824,
5.2,0.13279,0.63659,-0.24869,-0.029906,-0.53294,
5.4,0.12963,0.64034,-0.22387,0.0020824,-0.55655,
5.6,0.1262,0.64411,-0.19721,0.036322,-0.57883,
5.8,0.12249,0.64787,-0.16876,0.072754,-0.59952,
6,0.11853,0.6516,-0.13859,0.1113,-0.61839,
6.2,0.11431,0.65527,-0.10679,0.15188,-0.63519,
6.4,0.10985,0.65885,-0.073457,0.19438,-0.64967,
6.6,0.10516,0.66233,-0.038724,0.23868,-0.66159,
6.8,0.10026,0.66567,-0.0027327,0.28463,-0.67074,
7,0.095172,0.66884,0.034364,0.33209,-0.67691,
7.2,0.089914,0.67183,0.072401,0.38088,-0.6799,
7.4,0.08451,0.6746,0.1112,0.43082,-0.67954,
7.6,0.078982,0.67714,0.15059,0.48172,-0.6757,
7.8,0.073354,0.67942,0.19039,0.53336,-0.66824,
8,0.067651,0.68143,0.23042,0.58554,-0.65708,
8.2,0.061894,0.68314,0.27051,0.63806,-0.64215,
8.4,0.056108,0.68453,0.31048,0.6907,-0.6234,
8.6,0.050313,0.68561,0.35019,0.74327,-0.60082,
8.8,0.04453,0.68635,0.38948,0.79555,-0.57443,
9,0.038778,0.68676,0.42824,0.84737,-0.54426,
9.2,0.033072,0.68681,0.46633,0.89855,-0.51037,
9.4,0.027427,0.68652,0.50367,0.94892,-0.47282,
9.6,0.021854,0.68588,0.54018,0.99834,-0.43171,
