"t","u","r","y","em_x","em_y",
0,0.21322,2.6038,1.1823,0,0,
0.2,0.21324,2.6039,1.1823,0.040137,-0.022071,
0.4,0.21331,2.6044,1.1823,0.081409,-0.041367,
0.6,0.21341,2.6051,1.1824,0.12381,-0.057895,
0.8,0.21354,2.6062,1.1826,0.16735,-0.071663,
1,0.21369,2.6075,1.1829,0.212,-0.082683,
1.2,0.21384,2.6092,1.1836,0.25776,-0.09097,
1.4,0.21396,2.6111,1.1847,0.30462,-0.096539,
1.6,0.21405,2.6133,1.1863,0.35254,-0.099409,
1.8,0.21407,2.6158,1.1887,0.40149,-0.099597,
2,0.21399,2.6185,1.1919,0.45144,-0.097121,
2.2,0.2138,2.6216,1.1963,0.50232,-0.091997,
2.4,0.21346,2.6249,1.2019,0.55406,-0.084238,
2.6,0.21293,2.6285,1.209,0.60657,-0.073857,
2.8,0.21218,2.6323,1.2178,0.65976,-0.060861,
3,0.21118,2.6364,1.2286,0.71349,-0.045256,
3.2,0.2099,2.6408,1.2415,0.76761,-0.027045,
3.4,0.20829,2.6453,1.2567,0.82194,-0.0062274,
3.6,0.20634,2.6501,1.2745,0.87628,0.017196,
3.8,0.20402,2.6552,1.2951,0.93041,0.043223,
4,0.20128,2.6604,1.3185,0.98407,0.071849,
4.2,0.19812,2.6658,1.345,1.037,0.10306,
4.4,0.1945,2.6713,1.3747,1.0888,0.13683,
4.6,0.19042,2.6771,1.4076,1.1392,0.17312,
4.8,0.18587,2.6829,1.4437,1.1879,0.21187,
5,0.18084,2.6888,1.4832,1.2345,0.25299,
5.2,0.17533,2.6948,1.5259,1.2785,0.29635,
5.4,0.16936,2.7009,1.5718,1.3196,0.3418,
5.6,0.16293,2.7069,1.6207,1.3573,0.38915,
5.8,0.15606,2.7129,1.6725,1.3914,0.43815,
6,0.14878,2.7188,1.7269,1.4214,0.48852,
6.2,0.14112,2.7245,1.7838,1.447,0.53994,
6.4,0.13311,2.7301,1.8427,1.4679,0.59204,
6.6,0.1248,2.7355,1.9035,1.4838,0.64443,
6.8,0.11623,2.7406,1.9657,1.4946,0.69666,
7,0.10743,2.7453,2.0291,1.5,0.74829,
7.2,0.098467,2.7497,2.0933,1.5,0.79887,
7.4,0.089373,2.7537,2.1579,1.4947,0.84793,
7.6,0.080196,2.7572,2.2226,1.4839,0.89502,
7.8,0.07098,2.7603,2.2871,1.4679,0.93971,
8,0.061767,2.7628,2.3511,1.4468,0.98159,
8.2,0.052592,2.7649,2.4143,1.4208,1.0203,
8.4,0.043489,2.7663,2.4764,1.3901,1.0555,
8.6,0.034488,2.7673,2.5373,1.3551,1.0869,
8.8,0.02561,2.7676,2.5969,1.3161,1.1144,
9,0.016875,2.7674,2.6549,1.2733,1.1376,
9.2,0.0082935,2.7667,2.7114,1.2271,1.1564,
9.4,-0.00012734,2.7653,2.7662,1.1779,1.1708,
9.6,-0.0083874,2.7635,2.8194,1.1259,1.1806,
9.8,-0.016488,2.7611,2.8711,1.0715,1.1858,
10,-0.024429,2.7583,2.9211,1.015,1.1864,
10.2,-0.032203,2.7549,2.9696,0.9566,1.1824,
10.4,-0.039794,2.751,3.0163,0.89669,1.1738,
10.6,-0.047184,2.7467,3.0613,0.8355,1.1607,
