"t","u","r","y","em_x","em_y",
0,-0.17415,-1.6944,-0.53342,0,0,
0.2,-0.17435,-1.6958,-0.53342,0.0091267,-0.038922,
0.4,-0.1746,-1.6974,-0.53343,0.020835,-0.079367,
0.6,-0.17489,-1.6994,-0.53347,0.035118,-0.12133,
0.8,-0.1752,-1.7016,-0.53359,0.051969,-0.16482,
1,-0.17553,-1.7041,-0.53384,0.071373,-0.20981,
1.2,-0.17588,-1.7068,-0.53429,0.093314,-0.25631,
1.4,-0.17622,-1.7098,-0.53503,0.11777,-0.30432,
1.6,-0.17654,-1.7131,-0.53615,0.14471,-0.35381,
1.8,-0.17683,-1.7167,-0.53777,0.17411,-0.40481,
2,-0.17707,-1.7205,-0.54,0.20592,-0.4573,
2.2,-0.17723,-1.7245,-0.54299,0.2401,-0.5113,
2.4,-0.1773,-1.7288,-0.54686,0.27659,-0.56683,
2.6,-0.17724,-1.7334,-0.55178,0.31533,-0.6239,
2.8,-0.17704,-1.7382,-0.5579,0.35624,-0.68256,
3,-0.17667,-1.7432,-0.56537,0.39924,-0.74284,
3.2,-0.17611,-1.7484,-0.57436,0.44424,-0.80481,
3.4,-0.17533,-1.7539,-0.58503,0.49113,-0.86853,
3.6,-0.1743,-1.7595,-0.59752,0.53978,-0.93409,
3.8,-0.173,-1.7654,-0.61199,0.59005,-1.0016,
4,-0.17142,-1.7714,-0.62858,0.6418,-1.0711,
4.2,-0.16952,-1.7775,-0.64741,0.69484,-1.1428,
4.4,-0.16729,-1.7838,-0.66858,0.74899,-1.2167,
4.6,-0.16471,-1.7903,-0.69218,0.80404,-1.2931,
4.8,-0.16178,-1.7968,-0.71827,0.85976,-1.372,
5,-0.15848,-1.8034,-0.7469,0.91588,-1.4536,
5.2,-0.1548,-1.8101,-0.77807,0.97215,-1.538,
5.4,-0.15075,-1.8168,-0.81177,1.0283,-1.6253,
5.6,-0.14633,-1.8235,-0.84794,1.0839,-1.7157,
5.8,-0.14154,-1.8301,-0.8865,1.1388,-1.8093,
6,-0.13641,-1.8367,-0.92734,1.1925,-1.9061,
6.2,-0.13093,-1.8432,-0.97032,1.2447,-2.0062,
6.4,-0.12514,-1.8495,-1.0153,1.2951,-2.1095,
6.6,-0.11906,-1.8557,-1.062,1.3432,-2.2161,
6.8,-0.11271,-1.8617,-1.1103,1.3888,-2.326,
7,-0.10612,-1.8674,-1.1599,1.4315,-2.4389,
7.2,-0.099334,-1.8728,-1.2106,1.4709,-2.5548,
7.4,-0.092371,-1.8779,-1.2621,1.5067,-2.6736,
7.6,-0.08527,-1.8827,-1.3142,1.5387,-2.795,
7.8,-0.078066,-1.887,-1.3666,1.5666,-2.9187,
8,-0.07079,-1.891,-1.4191,1.5902,-3.0447,
8.2,-0.063476,-1.8946,-1.4714,1.6094,-3.1725,
8.4,-0.056155,-1.8977,-1.5233,1.6239,-3.3019,
8.6,-0.048854,-1.9003,-1.5746,1.6338,-3.4326,
8.8,-0.041599,-1.9025,-1.6251,1.6389,-3.5644,
9,-0.034412,-1.9042,-1.6748,1.6392,-3.6969,
9.2,-0.027313,-1.9054,-1.7233,1.6348,-3.8299,
9.4,-0.020317,-1.9062,-1.7707,1.6257,-3.9631,
9.6,-0.013435,-1.9064,-1.8169,1.612,-4.0962,
9.8,-0.0066753,-1.9063,-1.8618,1.5937,-4.2291,
10,-4.1235e-05,-1.9056,-1.9054,1.5711,-4.3616,
10.2,0.0064669,-1.9046,-1.9477,1.5441,-4.4933,
10.4,0.012851,-1.9031,-1.9887,1.513,-4.6242,
10.6,0.019112,-1.9011,-2.0285,1.4779,-4.7541,
10.8,0.025244,-1.8988,-2.0671,1.4389,-4.8829,
11,0.031239,-1.8961,-2.1043,1.3962,-5.0103,
11.2,0.037086,-1.893,-2.1402,1.3499,-5.1364,
11.4,0.042769,-1.8895,-2.1746,1.3003,-5.261,
11.6,0.048269,-1.8857,-2.2075,1.2474,-5.3841,
11.8,0.053566,-1.8816,-2.2387,1.1916,-5.5056,
12,0.058636,-1.8772,-2.2681,1.1329,-5.6256,
12.2,0.063454,-1.8725,-2.2955,1.0716,-5.744,
12.4,0.067994,-1.8675,-2.3208,1.0079,-5.8609,
12.6,0.072229,-1.8623,-2.3439,0.94197,-5.9763,
12.8,0.076132,-1.8569,-2.3645,0.8741,-6.0905,
13,0.079676,-1.8514,-2.3825,0.80449,-6.2034,
13.2,0.082837,-1.8456,-2.3979,0.73337,-6.3153,
13.4,0.085593,-1.8397,-2.4103,0.66095,-6.4263,
13.6,0.087922,-1.8337,-2.4199,0.58748,-6.5367,
13.8,0.089808,-1.8277,-2.4264,0.51318,-6.6466,
14,0.091238,-1.8215,-2.4298,0.43829,-6.7564,
14.2,0.092203,-1.8154,-2.43,0.36303,-6.8662,
14.4,0.092698,-1.8092,-2.4272,0.28766,-6.9762,
14.6,0.092723,-1.8031,-2.4212,0.2124,-7.0868,
14.8,0.092284,-1.797,-2.4122,0.13749,-7.1983,
15,0.091389,-1.7909,-2.4002,0.063178,-7.3107,
15.2,0.090053,-1.785,-2.3854,-0.010304,-7.4244,
15.4,0.088293,-1.7792,-2.3679,-0.082713,-7.5396,
15.6,0.086133,-1.7736,-2.3478,-0.15381,-7.6564,
15.8,0.083597,-1.7681,-2.3255,-0.22336,-7.775,
16,0.080713,-1.7629,-2.301,-0.29114,-7.8955,
16.2,0.077513,-1.7579,-2.2746,-0.35691,-8.0181,
16.4,0.074029,-1.7531,-2.2466,-0.42047,-8.1427,
16.6,0.070293,-1.7486,-2.2172,-0.48162,-8.2696,
16.8,0.06634,-1.7444,-2.1866,-0.54016,-8.3985,
17,0.062203,-1.7404,-2.1551,-0.59594,-8.5296,
17.2,0.057914,-1.7368,-2.1229,-0.6488,-8.6629,
17.4,0.053505,-1.7335,-2.0902,-0.69861,-8.7981,
17.6,0.049006,-1.7306,-2.0573,-0.74527,-8.9353,
17.8,0.044446,-1.728,-2.0243,-0.78868,-9.0744,
18,0.039848,-1.7258,-1.9914,-0.82879,-9.2152,
18.2,0.035238,-1.7239,-1.9588,-0.86556,-9.3576,
18.4,0.030635,-1.7223,-1.9266,-0.89896,-9.5015,
18.6,0.026056,-1.7211,-1.8948,-0.92899,-9.6467,
18.8,0.021517,-1.7203,-1.8637,-0.95567,-9.7932,
19,0.017031,-1.7198,-1.8333,-0.97902,-9.9408,
19.2,0.012606,-1.7196,-1.8037,-0.99909,-10.0893,
19.4,0.008249,-1.7198,-1.7748,-1.0159,-10.2387,
19.6,0.003965,-1.7203,-1.7467,-1.0296,-10.3888,
19.8,-0.00024434,-1.7211,-1.7195,-1.0402,-10.5396,
20,-0.0043793,-1.7222,-1.693,-1.0478,-10.6909,
20.2,-0.008441,-1.7236,-1.6674,-1.0524,-10.8426,
20.4,-0.01243,-1.7253,-1.6425,-1.0542,-10.9946,
20.6,-0.016343,-1.7273,-1.6184,-1.0532,-11.1469,
20.8,-0.020177,-1.7296,-1.595,-1.0494,-11.2994,
21,-0.023927,-1.7321,-1.5726,-1.0431,-11.452,
21.2,-0.027585,-1.7348,-1.5509,-1.0342,-11.6047,
21.4,-0.031142,-1.7378,-1.5302,-1.0229,-11.7573,
21.6,-0.034589,-1.7411,-1.5105,-1.0093,-11.91,
21.8,-0.037916,-1.7445,-1.4918,-0.99343,-12.0625,
22,-0.041109,-1.7482,-1.4741,-0.97552,-12.2149,
22.2,-0.044158,-1.7521,-1.4577,-0.95567,-12.3672,
22.4,-0.047049,-1.7561,-1.4424,-0.93399,-12.5192,
22.6,-0.04977,-1.7603,-1.4285,-0.91066,-12.6712,
22.8,-0.052307,-1.7646,-1.4159,-0.88581,-12.8229,
23,-0.05465,-1.7691,-1.4048,-0.85961,-12.9744,
23.2,-0.056785,-1.7737,-1.3951,-0.83222,-13.1258,
23.4,-0.058701,-1.7784,-1.3871,-0.80383,-13.2771,
23.6,-0.06039,-1.7832,-1.3806,-0.77461,-13.4282,
23.8,-0.061843,-1.788,-1.3757,-0.74475,-13.5792,
24,-0.063051,-1.7929,-1.3726,-0.71443,-13.7301,
24.2,-0.064011,-1.7978,-1.3711,-0.68384,-13.881,
24.4,-0.064717,-1.8028,-1.3713,-0.65318,-14.032,
24.6,-0.065169,-1.8077,-1.3732,-0.62264,-14.1829,
24.8,-0.065366,-1.8126,-1.3768,-0.5924,-14.334,
25,-0.065311,-1.8174,-1.382,-0.56265,-14.4851,
25.2,-0.065007,-1.8222,-1.3889,-0.53359,-14.6365,
25.4,-0.06446,-1.8269,-1.3972,-0.50538,-14.788,
25.6,-0.063677,-1.8316,-1.407,-0.47819,-14.9396,
25.8,-0.062669,-1.836,-1.4183,-0.45221,-15.0915,
26,-0.061444,-1.8404,-1.4308,-0.42757,-15.2437,
26.2,-0.060017,-1.8446,-1.4445,-0.40443,-15.396,
26.4,-0.0584,-1.8487,-1.4594,-0.38292,-15.5486,
26.6,-0.056606,-1.8526,-1.4752,-0.36317,-15.7013,
26.8,-0.054652,-1.8563,-1.4919,-0.34529,-15.8543,
27,-0.052552,-1.8598,-1.5095,-0.32937,-16.0074,
27.2,-0.050322,-1.8631,-1.5276,-0.31551,-16.1607,
27.4,-0.047977,-1.8662,-1.5464,-0.30378,-16.3141,
27.6,-0.045534,-1.8691,-1.5655,-0.29423,-16.4675,
27.8,-0.043007,-1.8718,-1.585,-0.28691,-16.621,
28,-0.040411,-1.8742,-1.6048,-0.28185,-16.7744,
28.2,-0.037761,-1.8764,-1.6247,-0.27908,-16.9277,
28.4,-0.035069,-1.8784,-1.6446,-0.2786,-17.081,
28.6,-0.032349,-1.8801,-1.6644,-0.28041,-17.2341,
28.8,-0.029611,-1.8816,-1.6842,-0.28449,-17.387,
29,-0.026868,-1.8829,-1.7038,-0.29083,-17.5396,
29.2,-0.024127,-1.8839,-1.7231,-0.2994,-17.6919,
29.4,-0.021398,-1.8847,-1.7421,-0.31015,-17.8439,
29.6,-0.018688,-1.8854,-1.7608,-0.32304,-17.9956,
29.8,-0.016003,-1.8857,-1.779,-0.33803,-18.1468,
30,-0.013348,-1.8859,-1.7969,-0.35506,-18.2976,
30.2,-0.010729,-1.8859,-1.8143,-0.37407,-18.448,
30.4,-0.0081473,-1.8856,-1.8313,-0.39501,-18.5979,
30.6,-0.0056065,-1.8852,-1.8478,-0.41782,-18.7473,
30.8,-0.0031072,-1.8846,-1.8639,-0.44244,-18.8962,
31,-0.00065019,-1.8838,-1.8795,-0.46881,-19.0445,
31.2,0.0017644,-1.8828,-1.8946,-0.49686,-19.1924,
31.4,0.0041375,-1.8817,-1.9092,-0.52655,-19.3397,
31.6,0.0064701,-1.8803,-1.9235,-0.55781,-19.4864,
31.8,0.0087616,-1.8789,-1.9373,-0.59059,-19.6326,
32,0.011011,-1.8772,-1.9506,-0.62483,-19.7782,
32.2,0.013218,-1.8755,-1.9636,-0.66048,-19.9233,
32.4,0.01538,-1.8735,-1.9761,-0.69749,-20.0678,
32.6,0.017412,-1.872,-1.9881,-0.73581,-20.2117,

