"t","u","r","y","em_x","em_y",
0,-0.18331,2.4111,3.6332,0,0,
0.2,0.18295,2.4135,-2.65,0.027462,0.0070569,
0.4,0.18264,2.4156,-2.65,0.052282,0.012699,
0.6,0.18238,2.4174,-2.65,0.074465,0.016928,
0.8,0.18217,2.4189,-2.6498,0.094019,0.01975,
1,0.18203,2.4201,-2.6496,0.11096,0.021168,
1.2,0.18196,2.4211,-2.6491,0.1253,0.021188,
1.4,0.18197,2.4218,-2.6483,0.13707,0.019813,
1.6,0.18209,2.4222,-2.6471,0.14629,0.017045,
1.8,0.18233,2.4223,-2.6454,0.153,0.012884,
2,0.1827,2.4222,-2.643,0.15723,0.0073208,
2.2,0.18324,2.4218,-2.6398,0.15904,0.00034446,
2.4,0.18396,2.4211,-2.6357,0.15849,-0.008066,
2.6,0.18488,2.4202,-2.6304,0.15562,-0.017941,
2.8,0.18604,2.419,-2.6239,0.15053,-0.02932,
3,0.18746,2.4175,-2.6159,0.14328,-0.042259,
3.2,0.18918,2.4158,-2.6062,0.134,-0.056825,
3.4,0.19122,2.4139,-2.5945,0.12278,-0.073102,
3.6,0.19362,2.4117,-2.5807,0.10976,-0.091192,
3.8,0.19643,2.4092,-2.5645,0.095079,-0.11121,
4,0.19967,2.4065,-2.5456,0.078921,-0.13331,
4.2,0.20341,2.4035,-2.5236,0.061479,-0.15763,
4.4,0.2077,2.4003,-2.4983,0.042984,-0.18437,
4.6,0.21258,2.3968,-2.4692,0.023704,-0.21373,
4.8,0.21813,2.3931,-2.4359,0.003951,-0.24592,
5,0.22441,2.3891,-2.398,-0.015907,-0.28119,
5.2,0.23152,2.3849,-2.3548,-0.035439,-0.3198,
5.4,0.23954,2.3806,-2.3057,-0.054133,-0.362,
5.6,0.24857,2.376,-2.2501,-0.071385,-0.40806,
5.8,0.25874,2.3712,-2.187,-0.086478,-0.45822,
6,0.27018,2.3664,-2.1156,-0.09856,-0.51268,
6.2,0.28307,2.3614,-2.0346,-0.10662,-0.57156,
6.4,0.29757,2.3565,-1.9428,-0.10948,-0.6349,
6.6,0.31392,2.3517,-1.8387,-0.10575,-0.7025,
6.8,0.33236,2.3472,-1.7203,-0.093819,-0.77391,
7,0.35318,2.3431,-1.5855,-0.0719,-0.8483,
7.2,0.37675,2.3397,-1.4319,-0.038034,-0.92425,
7.4,0.40345,2.3373,-1.2562,0.0097654,-0.99955,
7.6,0.43379,2.3362,-1.0551,0.073285,-1.071,
7.8,0.46835,2.3368,-0.82405,0.15369,-1.1342,
8,0.43468,2.3397,-0.55819,0.25083,-1.1833,
8.2,0.39035,2.345,-0.25735,0.36218,-1.2115,
8.4,0.34208,2.3529,0.072373,0.48166,-1.2123,
8.6,0.29088,2.3631,0.42386,0.59978,-1.182,
8.8,0.23773,2.3747,0.78979,0.7051,-1.1212,
9,0.18351,2.3865,1.1631,0.78658,-1.0354,
9.2,0.12896,2.3973,1.5375,0.83611,-0.9349,
9.4,0.074693,2.4059,1.9079,0.85029,-0.83226,
9.6,0.021134,2.4114,2.2705,0.83097,-0.74039,
9.8,-0.031462,2.4136,2.6233,0.78458,-0.67012,
10,-0.082983,2.4124,2.9656,0.72061,-0.62892,
10.2,0.13323,2.4083,-2.9867,0.65,-0.62022,
10.4,0.18259,2.4021,-2.6638,0.58361,-0.64367,
10.6,0.23188,2.3947,-2.3426,0.5314,-0.69602,
10.8,0.2818,2.3872,-2.0174,0.50206,-0.7715,
11,0.33321,2.3805,-1.6813,0.50266,-0.86191,
11.2,0.38716,2.3758,-1.3263,0.53813,-0.95663,
11.4,0.44489,2.3742,-0.94304,0.61026,-1.0425,
11.6,0.4346,2.3766,-0.5207,0.71588,-1.1043,
11.8,0.3658,2.3836,-0.055101,0.84427,-1.1263,
12,0.29244,2.3944,0.44479,0.97546,-1.0986,
12.2,0.21644,2.4073,0.96435,1.0841,-1.0231,
12.4,0.13938,2.4195,1.4903,1.1483,-0.91626,
12.6,0.062474,2.4285,2.012,1.158,-0.80461,
12.8,-0.013474,2.4325,2.5223,1.1187,-0.71554,
13,-0.088049,2.4312,3.0182,1.0481,-0.66925,
13.2,0.16085,2.4257,-2.7852,0.97062,-0.67409,
13.4,0.23237,2.4178,-2.3163,0.91024,-0.72621,
13.6,0.30394,2.4098,-1.8471,0.8863,-0.81243,
13.8,0.3769,2.4039,-1.3666,0.91105,-0.91262,
14,0.45296,2.4024,-0.86108,0.98733,-1.0021,
