"t","u","r","y","em_x","em_y",
0,0.07898,-0.76772,-1.2943,0,0,
0.2,0.079189,-0.76634,-1.2943,0.002504,-0.021711,
0.4,0.079419,-0.7648,-1.2943,0.0058264,-0.046307,
0.6,0.079671,-0.76311,-1.2942,0.0099656,-0.07378,
0.8,0.079943,-0.76127,-1.2942,0.014919,-0.10412,
1,0.080233,-0.75928,-1.2942,0.020683,-0.13732,
1.2,0.080539,-0.75714,-1.2941,0.027254,-0.17335,
1.4,0.080858,-0.75486,-1.2939,0.034627,-0.2122,
1.6,0.081187,-0.75243,-1.2937,0.042798,-0.25384,
1.8,0.081521,-0.74986,-1.2933,0.051761,-0.29824,
2,0.081856,-0.74714,-1.2929,0.061513,-0.34537,
2.2,0.082188,-0.74429,-1.2922,0.072051,-0.3952,
2.4,0.08251,-0.7413,-1.2914,0.083373,-0.44768,
2.6,0.082819,-0.73818,-1.2903,0.095479,-0.50277,
2.8,0.083106,-0.73492,-1.289,0.10837,-0.56043,
3,0.083368,-0.73154,-1.2873,0.12205,-0.6206,
3.2,0.083595,-0.72804,-1.2853,0.13653,-0.68323,
3.4,0.083783,-0.72442,-1.283,0.15182,-0.74827,
3.6,0.083923,-0.72068,-1.2802,0.16794,-0.81565,
3.8,0.08401,-0.71684,-1.2769,0.18489,-0.88532,
4,0.084035,-0.7129,-1.2731,0.20271,-0.9572,
4.2,0.083991,-0.70887,-1.2688,0.22143,-1.0312,
4.4,0.083872,-0.70475,-1.2639,0.24106,-1.1073,
4.6,0.08367,-0.70055,-1.2584,0.26166,-1.1855,
4.8,0.083379,-0.69628,-1.2521,0.28327,-1.2655,
5,0.082993,-0.69195,-1.2452,0.30592,-1.3474,
5.2,0.082506,-0.68757,-1.2376,0.32968,-1.431,
5.4,0.081913,-0.68315,-1.2292,0.35458,-1.5163,
5.6,0.081209,-0.67869,-1.2201,0.38071,-1.6032,
5.8,0.08039,-0.67422,-1.2102,0.40811,-1.6916,
6,0.079453,-0.66973,-1.1994,0.43685,-1.7814,
6.2,0.078395,-0.66525,-1.1879,0.46699,-1.8725,
6.4,0.077215,-0.66078,-1.1755,0.49861,-1.9648,
6.6,0.075913,-0.65634,-1.1624,0.53178,-2.0582,
6.8,0.074488,-0.65193,-1.1485,0.56656,-2.1526,
7,0.072942,-0.64758,-1.1339,0.60301,-2.2479,
7.2,0.071277,-0.64329,-1.1185,0.64121,-2.3439,
7.4,0.069496,-0.63908,-1.1024,0.68121,-2.4407,
7.6,0.067604,-0.63495,-1.0856,0.72308,-2.5379,
7.8,0.065604,-0.63092,-1.0683,0.76686,-2.6356,
8,0.063504,-0.62701,-1.0504,0.8126,-2.7337,
8.2,0.061309,-0.62322,-1.0319,0.86035,-2.8319,
8.4,0.059025,-0.61956,-1.0131,0.91015,-2.9303,
8.6,0.056662,-0.61604,-0.99379,0.96201,-3.0287,
8.8,0.054227,-0.61268,-0.97419,1.016,-3.1269,
9,0.051727,-0.60948,-0.95433,1.072,-3.225,
9.2,0.049173,-0.60645,-0.93427,1.1302,-3.3227,
9.4,0.046571,-0.6036,-0.91407,1.1904,-3.42,
9.6,0.043932,-0.60092,-0.8938,1.2528,-3.5168,
9.8,0.041263,-0.59844,-0.87352,1.3172,-3.6131,
10,0.038573,-0.59615,-0.8533,1.3837,-3.7086,
10.2,0.03587,-0.59405,-0.83318,1.4522,-3.8035,
10.4,0.033162,-0.59215,-0.81323,1.5227,-3.8975,
10.6,0.030456,-0.59045,-0.79349,1.5951,-3.9907,
10.8,0.027758,-0.58895,-0.77401,1.6694,-4.0829,
11,0.025076,-0.58765,-0.75482,1.7456,-4.1742,
11.2,0.022415,-0.58655,-0.73598,1.8236,-4.2645,
11.4,0.019779,-0.58565,-0.71751,1.9033,-4.3538,
11.6,0.017173,-0.58494,-0.69943,1.9846,-4.442,
11.8,0.0146,-0.58443,-0.68177,2.0676,-4.5291,
12,0.012065,-0.58411,-0.66454,2.1521,-4.6151,
12.2,0.0095682,-0.58397,-0.64776,2.2382,-4.6999,
12.4,0.0071122,-0.58402,-0.63144,2.3256,-4.7837,
12.6,0.0046982,-0.58425,-0.61557,2.4144,-4.8664,
12.8,0.0023263,-0.58465,-0.60016,2.5046,-4.9479,
13,-3.6181e-06,-0.58522,-0.5852,2.596,-5.0283,
13.2,-0.0022921,-0.58596,-0.57068,2.6885,-5.1075,
13.4,-0.0045405,-0.58686,-0.55659,2.7823,-5.1857,
13.6,-0.006749,-0.58791,-0.54292,2.8771,-5.2628,
13.8,-0.0089182,-0.58912,-0.52967,2.973,-5.3388,
14,-0.011047,-0.59048,-0.51683,3.0698,-5.4137,
14.2,-0.013135,-0.59198,-0.50441,3.1676,-5.4876,
14.4,-0.015181,-0.59362,-0.49241,3.2663,-5.5605,
14.6,-0.017182,-0.59539,-0.48085,3.3658,-5.6323,
14.8,-0.019136,-0.59729,-0.46972,3.4662,-5.7031,
15,-0.02104,-0.59932,-0.45905,3.5673,-5.773,
15.2,-0.022892,-0.60146,-0.44885,3.6692,-5.8419,
15.4,-0.024688,-0.60372,-0.43913,3.7717,-5.9099,
15.6,-0.026424,-0.60608,-0.42992,3.8749,-5.9771,
15.8,-0.028096,-0.60854,-0.42124,3.9786,-6.0435,
16,-0.029701,-0.6111,-0.41309,4.083,-6.109,
16.2,-0.031235,-0.61375,-0.40552,4.1878,-6.1739,
16.4,-0.032693,-0.61648,-0.39853,4.2931,-6.238,
16.6,-0.034071,-0.61929,-0.39215,4.3989,-6.3016,
16.8,-0.035366,-0.62216,-0.38639,4.5051,-6.3645,
17,-0.036574,-0.6251,-0.38127,4.6116,-6.427,
17.2,-0.037691,-0.62809,-0.37682,4.7185,-6.489,
17.4,-0.038713,-0.63113,-0.37304,4.8257,-6.5506,
17.6,-0.039638,-0.63421,-0.36996,4.9331,-6.6119,
17.8,-0.040463,-0.63732,-0.36757,5.0408,-6.6729,
18,-0.041185,-0.64046,-0.36589,5.1486,-6.7338,
18.2,-0.041803,-0.64361,-0.36492,5.2566,-6.7946,
18.4,-0.042315,-0.64677,-0.36467,5.3647,-6.8553,
18.6,-0.04272,-0.64994,-0.36513,5.4729,-6.9161,
18.8,-0.043018,-0.65309,-0.36631,5.5812,-6.9771,
19,-0.043208,-0.65624,-0.36818,5.6895,-7.0382,
19.2,-0.043292,-0.65936,-0.37075,5.7978,-7.0996,
19.4,-0.043269,-0.66245,-0.37399,5.906,-7.1613,
19.6,-0.043143,-0.66551,-0.37789,6.0142,-7.2234,
19.8,-0.042915,-0.66853,-0.38243,6.1222,-7.286,
20,-0.042587,-0.67149,-0.38758,6.2301,-7.3491,
20.2,-0.042163,-0.6744,-0.39331,6.3379,-7.4129,
20.4,-0.041646,-0.67725,-0.39961,6.4454,-7.4773,
20.6,-0.04104,-0.68002,-0.40642,6.5527,-7.5424,
20.8,-0.040349,-0.68273,-0.41373,6.6597,-7.6083,
21,-0.039577,-0.68535,-0.4215,6.7664,-7.675,
21.2,-0.03873,-0.68789,-0.42969,6.8728,-7.7425,
21.4,-0.037812,-0.69033,-0.43825,6.9788,-7.8109,
21.6,-0.036829,-0.69269,-0.44716,7.0845,-7.8803,
21.8,-0.035785,-0.69494,-0.45638,7.1897,-7.9506,
22,-0.034687,-0.6971,-0.46585,7.2945,-8.0219,
22.2,-0.033538,-0.69915,-0.47556,7.3989,-8.0942,
22.4,-0.032346,-0.70109,-0.48545,7.5028,-8.1675,
22.6,-0.031114,-0.70293,-0.4955,7.6061,-8.2419,
22.8,-0.029849,-0.70465,-0.50566,7.709,-8.3173,
23,-0.028554,-0.70626,-0.51589,7.8113,-8.3937,
23.2,-0.027236,-0.70775,-0.52618,7.913,-8.4711,
23.4,-0.025898,-0.70913,-0.53648,8.0142,-8.5496,
23.6,-0.024545,-0.7104,-0.54676,8.1148,-8.6292,
23.8,-0.023182,-0.71155,-0.55701,8.2148,-8.7097,
24,-0.021811,-0.71259,-0.56718,8.3142,-8.7913,
24.2,-0.020438,-0.71351,-0.57726,8.413,-8.8738,
24.4,-0.019064,-0.71432,-0.58722,8.5112,-8.9574,
24.6,-0.017694,-0.71502,-0.59706,8.6088,-9.0419,
24.8,-0.016331,-0.71561,-0.60674,8.7057,-9.1273,
25,-0.014976,-0.71609,-0.61625,8.8021,-9.2137,
25.2,-0.013631,-0.71646,-0.62558,8.8978,-9.3009,
25.4,-0.0123,-0.71672,-0.63472,8.9929,-9.389,
25.6,-0.010984,-0.71689,-0.64366,9.0874,-9.478,
25.8,-0.0096833,-0.71695,-0.65239,9.1814,-9.5678,
26,-0.0084002,-0.71691,-0.66091,9.2747,-9.6584,
26.2,-0.0071353,-0.71678,-0.66921,9.3675,-9.7498,
26.4,-0.0058894,-0.71655,-0.67729,9.4596,-9.8419,
26.6,-0.0046629,-0.71624,-0.68515,9.5512,-9.9347,
26.8,-0.0034562,-0.71583,-0.69279,9.6423,-10.0283,
27,-0.0022694,-0.71534,-0.70021,9.7328,-10.1225,
27.2,-0.0011022,-0.71476,-0.70741,9.8228,-10.2173,
27.4,4.5479e-05,-0.7141,-0.7144,9.9122,-10.3128,
27.6,0.0011741,-0.71336,-0.72119,10.0011,-10.4089,
27.8,0.0022841,-0.71254,-0.72777,10.0896,-10.5056,
28,0.003376,-0.71165,-0.73416,10.1775,-10.6028,
28.2,0.0044499,-0.71069,-0.74036,10.265,-10.7006,
28.4,0.005506,-0.70966,-0.74636,10.352,-10.799,
28.6,0.0065442,-0.70855,-0.75218,10.4385,-10.8978,
28.8,0.0075642,-0.70739,-0.75781,10.5246,-10.9971,
29,0.0085658,-0.70615,-0.76326,10.6103,-11.0969,
29.2,0.0095484,-0.70486,-0.76852,10.6955,-11.1971,
29.4,0.010512,-0.7035,-0.77358,10.7803,-11.2977,
29.6,0.011455,-0.70209,-0.77846,10.8647,-11.3988,
29.8,0.012377,-0.70063,-0.78314,10.9488,-11.5003,
30,0.013278,-0.69911,-0.78763,11.0325,-11.6021,
30.2,0.014156,-0.69753,-0.79191,11.1158,-11.7044,
30.4,0.015011,-0.69592,-0.79599,11.1988,-11.8069,
30.6,0.015842,-0.69425,-0.79986,11.2814,-11.9098,
30.8,0.016647,-0.69254,-0.80352,11.3638,-12.013,
31,0.017426,-0.69079,-0.80696,11.4458,-12.1164,
31.2,0.018177,-0.689,-0.81018,11.5276,-12.2202,
31.4,0.0189,-0.68717,-0.81317,11.6091,-12.3242,
31.6,0.019593,-0.68531,-0.81594,11.6904,-12.4284,
31.8,0.020256,-0.68342,-0.81846,11.7715,-12.5328,
32,0.020887,-0.6815,-0.82075,11.8523,-12.6374,
32.2,0.021486,-0.67956,-0.8228,11.933,-12.7422,
32.4,0.022051,-0.67759,-0.8246,12.0135,-12.8472,
32.6,0.022582,-0.67561,-0.82615,12.0939,-12.9523,
32.8,0.023077,-0.6736,-0.82745,12.1742,-13.0574,
33,0.023537,-0.67159,-0.8285,12.2543,-13.1627,
33.2,0.023959,-0.66956,-0.82929,12.3344,-13.2681,
33.4,0.024345,-0.66752,-0.82982,12.4144,-13.3735,
33.6,0.024693,-0.66548,-0.8301,12.4944,-13.479,
33.8,0.025002,-0.66344,-0.83012,12.5744,-13.5844,
34,0.025274,-0.66139,-0.82988,12.6544,-13.6899,
34.2,0.025506,-0.65935,-0.82939,12.7345,-13.7953,
34.4,0.0257,-0.65732,-0.82865,12.8145,-13.9007,
34.6,0.025854,-0.6553,-0.82766,12.8947,-14.006,
34.8,0.025971,-0.65329,-0.82643,12.975,-14.1112,
35,0.026048,-0.65129,-0.82495,13.0553,-14.2163,
35.2,0.026088,-0.64932,-0.82324,13.1358,-14.3213,
35.4,0.02609,-0.64736,-0.82129,13.2165,-14.4262,
35.6,0.026055,-0.64543,-0.81913,13.2973,-14.5309,
35.8,0.025983,-0.64352,-0.81674,13.3784,-14.6354,
36,0.025876,-0.64164,-0.81415,13.4596,-14.7397,
36.2,0.025734,-0.63979,-0.81135,13.5411,-14.8438,
36.4,0.025558,-0.63798,-0.80837,13.6228,-14.9477,
36.6,0.025349,-0.6362,-0.80519,13.7047,-15.0514,
36.8,0.025108,-0.63446,-0.80185,13.787,-15.1547,
37,0.024837,-0.63276,-0.79834,13.8695,-15.2578,
37.2,0.024537,-0.6311,-0.79468,13.9523,-15.3606,
37.4,0.024208,-0.62948,-0.79087,14.0354,-15.4631,
