"t","u","r","y","em_x","em_y",
0,-0.10261,-0.95697,-0.27293,0,0,
0.2,-0.10186,-0.95198,-0.27293,-0.036316,-0.035057,
0.4,-0.10114,-0.94718,-0.27293,-0.069746,-0.070922,
0.6,-0.10044,-0.94257,-0.27295,-0.10029,-0.10759,
0.8,-0.099774,-0.93815,-0.27299,-0.12797,-0.14507,
1,-0.099127,-0.93392,-0.27307,-0.15279,-0.18335,
1.2,-0.098497,-0.92987,-0.27322,-0.17477,-0.22242,
1.4,-0.097881,-0.92601,-0.27346,-0.19393,-0.26229,
1.6,-0.097274,-0.92232,-0.27383,-0.2103,-0.30294,
1.8,-0.096672,-0.91882,-0.27434,-0.22391,-0.34439,
2,-0.096067,-0.9155,-0.27505,-0.23478,-0.38662,
2.2,-0.095455,-0.91235,-0.27598,-0.24296,-0.42963,
2.4,-0.094829,-0.90937,-0.27718,-0.24849,-0.47343,
2.6,-0.094183,-0.90656,-0.27867,-0.25141,-0.51803,
2.8,-0.093509,-0.90391,-0.28052,-0.25176,-0.56342,
3,-0.092802,-0.90142,-0.28275,-0.24961,-0.60962,
3.2,-0.092053,-0.89909,-0.2854,-0.245,-0.65664,
3.4,-0.091257,-0.8969,-0.28852,-0.238,-0.7045,
3.6,-0.090407,-0.89485,-0.29214,-0.22866,-0.75322,
3.8,-0.089496,-0.89294,-0.2963,-0.21705,-0.80283,
4,-0.088519,-0.89116,-0.30103,-0.20324,-0.85336,
4.2,-0.087468,-0.88949,-0.30637,-0.1873,-0.90484,
4.4,-0.086341,-0.88794,-0.31233,-0.16931,-0.95731,
4.6,-0.085131,-0.88648,-0.31894,-0.14934,-1.0108,
4.8,-0.083834,-0.88512,-0.32623,-0.12747,-1.0654,
5,-0.082447,-0.88385,-0.3342,-0.10378,-1.1211,
5.2,-0.080967,-0.88264,-0.34286,-0.078371,-1.178,
5.4,-0.079392,-0.8815,-0.35222,-0.051318,-1.2361,
5.6,-0.077722,-0.88042,-0.36227,-0.022715,-1.2956,
5.8,-0.075954,-0.87937,-0.37301,0.0073453,-1.3563,
6,-0.074091,-0.87835,-0.38441,0.038768,-1.4185,
6.2,-0.072134,-0.87736,-0.39646,0.071456,-1.4821,
6.4,-0.070084,-0.87637,-0.40914,0.10531,-1.5473,
6.6,-0.067945,-0.87537,-0.42241,0.14024,-1.6141,
6.8,-0.06572,-0.87437,-0.43623,0.17613,-1.6824,
7,-0.063415,-0.87333,-0.45057,0.2129,-1.7525,
