"t","u","wt1","wt2","wt3","r","y","em_x","em_y",
0,0.25472,0.70525,0.012557,-2.5445,-1.1046,-2.3782,0,0,
0.2,0.25411,0.70525,0.012557,-2.5445,-1.1076,-2.3782,0.032385,0.0036222,
0.4,0.25355,0.70525,0.012557,-2.5445,-1.1104,-2.3782,0.062605,0.0051718,
0.6,0.25305,0.70525,0.012557,-2.5445,-1.1129,-2.3781,0.090663,0.0046529,
0.8,0.25259,0.70525,0.012557,-2.5445,-1.1151,-2.378,0.11657,0.0020721,
1,0.25218,0.70525,0.012557,-2.5445,-1.117,-2.3779,0.14033,-0.0025616,
1.2,0.25181,0.70525,0.012557,-2.5445,-1.1186,-2.3777,0.16196,-0.0092372,
1.4,0.25148,0.70525,0.012557,-2.5445,-1.12,-2.3774,0.18149,-0.017942,
1.6,0.25118,0.70525,0.012557,-2.5445,-1.1211,-2.377,0.19892,-0.02866,
1.8,0.25092,0.70525,0.012557,-2.5445,-1.1219,-2.3764,0.21428,-0.041376,
2,0.25068,0.70525,0.012557,-2.5445,-1.1224,-2.3758,0.22761,-0.056071,
2.2,0.25046,0.70525,0.012557,-2.5445,-1.1226,-2.375,0.23893,-0.072727,
2.4,0.25027,0.70525,0.012557,-2.5445,-1.1226,-2.374,0.24828,-0.091323,
2.6,0.25009,0.70525,0.012557,-2.5445,-1.1224,-2.3729,0.25569,-0.11184,
2.8,0.24993,0.70525,0.012557,-2.5445,-1.1219,-2.3715,0.2612,-0.13425,
3,0.24978,0.70525,0.012557,-2.5445,-1.1211,-2.37,0.26486,-0.15854,
3.2,0.24964,0.70525,0.012557,-2.5445,-1.1201,-2.3683,0.26672,-0.18469,
3.4,0.24951,0.70525,0.012557,-2.5445,-1.1188,-2.3664,0.26682,-0.21266,
3.6,0.24938,0.70525,0.012557,-2.5445,-1.1174,-2.3642,0.26521,-0.24244,
3.8,0.24925,0.70525,0.012557,-2.5445,-1.1157,-2.3619,0.26196,-0.27401,
4,0.24911,0.70525,0.012557,-2.5445,-1.1137,-2.3593,0.2571,-0.30733,
4.2,0.24898,0.70525,0.012557,-2.5445,-1.1116,-2.3565,0.25071,-0.3424,
4.4,0.24884,0.70525,0.012557,-2.5445,-1.1092,-2.3534,0.24284,-0.37918,
